,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
54,Magnifique studio Pondichérien,4.72,"₹2,000 per night",2 guests,1 bedroom,1 bed,1 private
55,House of Mud,4.79,"₹1,500 per night",3 guests,1 bedroom,2 beds,1 shared
56,The Art Gallery Home,4.74,"₹1,500 per night",3 guests,1 bedroom,1 bed,1 bathroom
57,Oceana beach house Mini,4.48,"₹2,500 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
58,"Bodhidharma Garden, blue house, Auroville Beach",4.84,"₹1,200 per night",3 guests,1 bedroom,2 beds,2.5 shared
59,Ikigai - a quiet and luxurious nest,4.82,"₹5,800 per night",6 guests,2 bedrooms,4 beds,2 bathrooms
60,Villa Al'Mar 3 bedrooms sea view villa,4.74,"₹6,429 per night",8 guests,3 bedrooms,4 beds,3 bathrooms
61,"Taktsang: Elegant 1BHK, French Town, Near Beach Rd",4.84,"₹3,227 per night",4 guests,1 bedroom,2 beds,1 bathroom
62,Serenity Homes (Room A) - We are open!,4.65,"₹1,100 per night",3 guests,1 bedroom,1 bed,1 private
63,"Nutshell, Serenity Beach - Room 1 (AC)",4.70,"₹1,500 per night",2 guests,1 bedroom,1 bed,1 private
64,180°  Panoramic Bay Of Bengal  Beach view Apt.,4.80,"₹5,214 per night",4 guests,2 bedrooms,3 beds,2 bathrooms
65,voguenvilla unit 2,4.61,"₹1,265 per night",2 guests,1 bedroom,2 beds,1 bathroom
66,"The Hermit Crab 3 (1st floor, beach view, Ac)",4.62,"₹2,357 per night",2 guests,1 bedroom,1 bed,1 private
67,Ikigai II - a quiet and luxurious nest,5.0,"₹8,400 per night",4 guests,2 bedrooms,4 beds,2 bathrooms
68,The Coastal House -1BHKFlat parallel to RockBeach,4.74,"₹1,100 per night",3 guests,1 bedroom,2 beds,1 bathroom
69,The Peacock Cottage,4.57,"₹2,000 per night",2 guests,1 bedroom,1 bed,1 bathroom
70,Villa Kairos Individual Villa at Pondicherry,4.63,"₹2,993 per night",5 guests,1 bedroom,2 beds,1 bathroom
71,"Villa Du Ocean , Whitetown, Near Promenade Beach",4.33,"₹3,571 per night",2 guests,17 bedrooms,16 beds,17 shared
72,hladini homes ( she who is happy always),4.49,"₹4,190 per night",4 guests,2 bedrooms,2 beds,1 bathroom
73,"Villa Sandrin, Near White Town and Beach",4.60,"₹1,846 per night",5 guests,1 bedroom,3 beds,1.5 bathrooms
74,Magizh home stay (First floor),4.70,"₹1,590 per night",4 guests,2 bedrooms,4 beds,2 bathrooms
75,Garden Flat Ocean Views Off Serenity Beach 2 BHK,4.57,"₹2,500 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
76,2 BHK Individual House,4.88,"₹1,400 per night",4 guests,2 bedrooms,2 beds,1.5 bathrooms
77,Félicité — 'Home of Joy' -  A home stay feeling,4.91,"₹1,557 per night",5 guests,2 bedrooms,3 beds,2 bathrooms
78,"Nutshell, Serenity Beach - Room 1 (AC)",4.70,"₹1,500 per night",2 guests,1 bedroom,1 bed,1 private
79,"The Hermit Crab 3 (1st floor, beach view, Ac)",4.62,"₹2,357 per night",2 guests,1 bedroom,1 bed,1 private
80,"Villa Du Ocean , Whitetown, Near Promenade Beach",4.33,"₹3,571 per night",2 guests,17 bedrooms,16 beds,17 shared
81,Villa Kairos Individual Villa at Pondicherry,4.63,"₹2,993 per night",5 guests,1 bedroom,2 beds,1 bathroom
82,Private Room (ANDAL) at a Garden Villa with Pool,5.0,"₹5,500 per night",2 guests,1 bedroom,1 bed,1 bathroom
83,First Floor Flat With Ocean Views 2 BHK,4.48,"₹2,500 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
84,A family room for a pleasant stay,4.11,"₹2,280 per night",4 guests,1 bedroom,2 beds,1 bathroom
85,Serenity Homes (Penthouse) - We are open!,4.64,"₹1,100 per night",3 guests,1 bedroom,1 bed,1 private
86,hladini homes ( she who is happy always),4.49,"₹4,190 per night",4 guests,2 bedrooms,2 beds,1 bathroom
87,Pool and beach house,5.0,"₹3,500 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
88,Luxurious Swiss Tent on Cashew farm,5.0,"₹1,200 per night",2 guests,1 bedroom,1 bed,1 bathroom
89,voguenvilla unit 2,4.61,"₹1,265 per night",2 guests,1 bedroom,2 beds,1 bathroom
90,Ikigai - a quiet and luxurious nest,4.82,"₹5,800 per night",6 guests,2 bedrooms,4 beds,2 bathrooms
91,The Peacock Cottage,4.57,"₹2,000 per night",2 guests,1 bedroom,1 bed,1 bathroom
92,Magizh Home Stay (Ground Floor),4.54,"₹1,490 per night",4 guests,2 bedrooms,4 beds,2 bathrooms
93,"Nutshell, Serenity Beach - Room 2 (AC)",5.0,"₹1,500 per night",2 guests,1 bedroom,1 bed,1 private
94,Terrace room with Sea View terrace,4.78,"₹6,500 per night",2 guests,1 bedroom,0 beds,1.5 bathrooms
95,Flowing Grace,5.0,"₹3,000 per night",2 guests,1 bedroom,1 bed,1 bathroom
96,The Art Gallery Home,4.74,"₹1,500 per night",3 guests,1 bedroom,1 bed,1 bathroom
97,hladini homes ( she who is happy always),4.49,"₹4,190 per night",4 guests,2 bedrooms,2 beds,1 bathroom
98,Le Mission Stay - 201 White Town,4.42,"₹2,457 per night",6 guests,1 bedroom,2 beds,1 bathroom
99,Très belle maison sécurisée,4.53,"₹2,600 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
100,"Bodhidharma Garden, blue house, Auroville Beach",4.84,"₹1,200 per night",3 guests,1 bedroom,2 beds,2.5 shared
101,RiyaVille,4.72,"₹3,600 per night",10 guests,3 bedrooms,4 beds,2 bathrooms
102,Villa Meena room for 2 guests in Suffren street,4.85,"₹1,900 per night",2 guests,1 bedroom,2 beds,1 private
103,Rock beach House,4.67,"₹3,500 per night",4 guests,2 bedrooms,3 beds,1.5 bathrooms
104,Villa Krish- A Finest Boutique hotel @ white town,4.50,"₹3,000 per night",16 guests,10 bedrooms,10 beds,8 bathrooms
105,"Sea view bungalow, Quiet beach",4.89,"₹3,200 per night",5 guests,1 bedroom,3 beds,1 bathroom
106,A Heritage triple room in the city,4.29,"₹1,950 per night",3 guests,1 bedroom,2 beds,1 bathroom
107,La Paz Homestay - A Home away from Home,4.68,"₹6,500 per night",10 guests,3 bedrooms,3 beds,3 bathrooms
108,"♥Awesome Villa for groups, 15 min to beach♥",4.87,"₹3,571 per night",15 guests,4 bedrooms,7 beds,4.5 bathrooms
109,voguenvilla unit 2,4.61,"₹1,265 per night",2 guests,1 bedroom,2 beds,1 bathroom
110,The Hermit Crab 2 (AC),4.73,"₹2,250 per night",2 guests,1 bedroom,1 bed,1 private
111,The Peacock Cottage,4.57,"₹2,000 per night",2 guests,1 bedroom,1 bed,1 bathroom
112,Gulkand House,4.78,"₹5,000 per night",8 guests,2 bedrooms,4 beds,3 bathrooms
113,Villa Helena Garden room and gourmet breakfast,4.63,"₹3,003 per night",2 guests,1 bedroom,1 bed,1 private
114,"Tranquil,Serene stay amongst the greenary (Purity)",5.0,"₹1,100 per night",2 guests,1 bedroom,1 bed,1.5 bathrooms
115,B- Lemon  Tree Hut -  Near Auroville,4.91,"₹1,300 per night",2 guests,1 bedroom,1 bed,1 bathroom
116,A La Villa Creole / Unique thatch cabin,4.51,"₹1,000 per night",2 guests,Studio ·,bed ·,shared bathrooms
117,Annexe Room at Dancers Cottage,4.88,"₹1,000 per night",2 guests,1 bedroom,0 beds,1 shared
118,Le Jardin Suffren - Studio Chile,5.0,"₹2,960 per night",3 guests,Studio ·,beds ·,bathroom
119,The Beach Front -1BHK parallel to ROCK BEACH,4.80,"₹1,357 per night",3 guests,1 bedroom,2 beds,1 bathroom
120,Villa Meena room for 2 guests in Suffren street,4.85,"₹1,900 per night",2 guests,1 bedroom,2 beds,1 private
121,Sea view Apartment Premium A/C room.,4.72,"₹1,600 per night",2 guests,1 bedroom,2 beds,1 private
122,The Lotus Room- MANTRA Pondicherry,4.71,"₹4,184 per night",2 guests,1 bedroom,2 beds,1 bathroom
123,Le Mission Stay - 201 White Town,4.42,"₹2,457 per night",6 guests,1 bedroom,2 beds,1 bathroom
124,"Sea View Amazing Room, AC, Balcony & Breakfast Set",4.11,"₹1,300 per night",2 guests,1 bedroom,1 bed,1 bathroom
125,"Villa Sandrin, Near White Town and Beach",4.60,"₹1,846 per night",5 guests,1 bedroom,3 beds,1.5 bathrooms
126,Terrace room with Sea View terrace,4.78,"₹6,500 per night",2 guests,1 bedroom,0 beds,1.5 bathrooms
127,Villa Meena Cosy private room 3 pax,4.82,"₹2,000 per night",3 guests,1 bedroom,3 beds,1 private
128,Kipaak One bedroom home with kitchen,4.55,"₹1,700 per night",2 guests,1 bedroom,1 bed,1.5 bathrooms
129,Villa Helena Terrace Single room&gourmet breakfast,4.75,"₹2,586 per night",1 guest,1 bedroom,1 bed,1 private
130,Flowing Grace,5.0,"₹3,000 per night",2 guests,1 bedroom,1 bed,1 bathroom
131,Quiet house,4.80,"₹1,900 per night",2 guests,2 bedrooms,1 bed,1 bathroom
132,Magizh Home Stay (8 beds),4.64,"₹4,490 per night",8 guests,4 bedrooms,8 beds,4 bathrooms
133,A Heritage triple room in the city,4.29,"₹1,950 per night",3 guests,1 bedroom,2 beds,1 bathroom
134,The Tea Road Deluxe Room,4.33,"₹1,095 per night",3 guests,1 bedroom,2 beds,1 shared
