,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
103,Melrose Place Gokulam 1 bedroom apartment.,5.0,"₹1,600 per night",2 guests,1 bedroom,1 bed,1 bathroom
104,3 Bedroom Private Flat @ Likemyapartment Mysore,3.75,"₹5,070 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
105,Mysore palace,3.75,"₹1,000 per night",16 guests,11 bedrooms,16 beds,11 bathrooms
106,Heritage Villa Near Palace Private Large garden,4.80,"₹10,000 per night",10 guests,4 bedrooms,10 beds,4 bathrooms
107,Vinny’s Nest - Cozy Studio,5.0,₹729 per night,2 guests,Studio ·,bed ·,bathroom
108,Diamond Hill Apartment,4.74,"₹2,800 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
109,Vinny’s Nest - Two bedded Apartment,5.0,"₹2,000 per night",3 guests,1 bedroom,2 beds,2 bathrooms
110,Spacious and warm apartment/ Private Room,4.33,"₹2,000 per night",2 guests,2 bedrooms,2 beds,2.5 shared
111,Vinny’s Nest - Two bedded Apartment,5.0,"₹2,000 per night",3 guests,1 bedroom,2 beds,2 bathrooms
112,3 Bedroom Private Flat @ Likemyapartment Mysore,3.75,"₹5,070 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
113,Designer Apartment at Mysore,4.72,"₹3,100 per night",5 guests,2 bedrooms,3 beds,2 bathrooms
114,Melrose Place Gokulam large studio apartment.,4.67,"₹1,300 per night",2 guests,1 bedroom,1 bed,1 bathroom
115,Diamond Hill Apartment,4.74,"₹2,800 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
116,Heritage Villa Near Palace Private Large garden,4.80,"₹10,000 per night",10 guests,4 bedrooms,10 beds,4 bathrooms
117,Family Villa with 3 bedrooms @ Likemyhome Mysore,3.0,"₹4,999 per night",9 guests,3 bedrooms,3 beds,3 bathrooms
