,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
74,"Aishwarya bhavan,Ooty Home stay",4.67,"₹4,600 per night",10 guests,3 bedrooms,5 beds,3 bathrooms
75,Deluxe Room with Balcony @ Colonel's Inn,4.50,"₹3,704 per night",2 guests,1 bedroom,1 bed,1 bathroom
76,"Cypresswoods B&B, Room 4 ,Ooty",4.64,"₹2,750 per night",2 guests,1 bedroom,0 beds,1.5 shared
77,Camping in the hills. Camp. Play. Bond,4.88,"₹1,249 per night",16 guests,6 bedrooms,24 beds,5 bathrooms
78,"Cypresswoods B&B, Room 1 ,Ooty",4.70,"₹2,750 per night",2 guests,1 bedroom,0 beds,1.5 shared
79,Kiara Cottage,5.0,"₹6,500 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
80,"Cypresswoods B&B , Ooty",4.62,"₹2,750 per night",8 guests,4 bedrooms,0 beds,4 shared
81,"Cypresswoods B&B, Room 4 ,Ooty",4.64,"₹2,750 per night",2 guests,1 bedroom,0 beds,1.5 shared
82,Deluxe Double Room @ Colonel's Inn,4.40,"₹3,319 per night",2 guests,1 bedroom,1 bed,1 bathroom
83,"Cypresswoods B&B, Room 2 ,Ooty",4.70,"₹2,750 per night",2 guests,1 bedroom,1 bed,1 private
84,"Cypresswoods B&B , Ooty",4.62,"₹2,750 per night",8 guests,4 bedrooms,0 beds,4 shared
85,❤️NovaScotia Heritage Bungalow-An Ecorganic stay. ❤️,4.29,"₹4,929 per night",16 guests,6 bedrooms,7 beds,6 bathrooms
86,"Cypresswoods B&B, Room 2 ,Ooty",4.70,"₹2,750 per night",2 guests,1 bedroom,1 bed,1 private
87,Mist Resort ooty,3.80,"₹7,000 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
88,Deluxe King Room @ Colonel’s Inn,3.80,"₹4,204 per night",3 guests,1 bedroom,1 bed,1 bathroom
89,"Cypresswoods B&B, Room 1 ,Ooty",4.70,"₹2,750 per night",2 guests,1 bedroom,0 beds,1.5 shared
90,Home Stay with 6 bedrooms in Ooty,4.49,"₹6,600 per night",16 guests,6 bedrooms,16 beds,4 bathrooms
91,Home Stay with 6 bedrooms in Ooty,4.49,"₹6,600 per night",16 guests,6 bedrooms,16 beds,4 bathrooms
