,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
102,Quinta Da Santana - Luxury Hill Cottage,4.83,"₹3,800 per night",2 guests,1 bedroom,1 bed,1 bathroom
103,The Beach Hive -Goa,4.92,"₹1,728 per night",3 guests,1 bedroom,2 beds,1 bathroom
104,Villa Flamingo at luisa by the sea,4.97,"₹4,000 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
105,Cozzy 1 Br with Pool Nr Vagator Beach,4.79,"₹2,888 per night",5 guests,1 bedroom,3 beds,1 bathroom
106,2 BHK Apartrment with POOL Candolim | Casa Stay,4.85,"₹2,013 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
107,Beautiful 1 BHK Apartment,4.60,"₹1,900 per night",4 guests,1 bedroom,1 bed,1 bathroom
108,"Cherish Boulder Opal Apt|1BRW/Pool,Pvt.Balcony|Goa",5.0,"₹1,404 per night",2 guests,1 bedroom,1 bed,1 bathroom
109,"Sun-kissed Holidays, Vagator, Goa- Coral Marina 🐚",4.43,"₹1,056 per night",4 guests,1 bedroom,2 beds,1 bathroom
110,Serene Sea and Island View 1bhk Apartment,5.0,"₹1,742 per night",3 guests,1 bedroom,1 bed,1 bathroom
111,Opulent 1BHK With ⭐Wi-Fi⭐ Near Candolim Beach🏖,4.67,"₹1,400 per night",4 guests,1 bedroom,1 bed,1 bathroom
112,"Artist Cottages, Morjim Beach, Goa",4.88,"₹3,885 per night",2 guests,1 bedroom,1 bed,1 private
113,Blue House in the forest - Assagao,4.33,"₹2,886 per night",2 guests,1 bedroom,1 bed,1 private
114,Nihal's Hideout - 1 BHK attic house with a view,4.51,"₹1,200 per night",6 guests,1 bedroom,5 beds,1 bathroom
115,Studio ‘Calor Feliz’ a warm & happy studio stay,4.69,"₹1,100 per night",2 guests,1 bedroom,1 bed,1 bathroom
116,Apartment - 2 @ La Quinta Arpora (STU),4.88,"₹1,716 per night",4 guests,1 bedroom,2 beds,1 bathroom
117,Johnnie's 2bhk Deluxe Apartments (Unit 2),4.68,"₹2,099 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
118,Candolim beach-250m 4BHK Luxury AC Wi-Fi Villa,4.84,"₹3,930 per night",16 guests,4 bedrooms,5 beds,3 bathrooms
119,2BHK Luxury Apartment near Candolim,4.86,"₹5,750 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
120,"New Furnished Studio Apartment, Canacona-South Goa",4.83,₹970 per night,4 guests,1 bedroom,1 bed,1 bathroom
121,Cozzy 1 Br with Pool Nr Vagator Beach,4.79,"₹2,888 per night",5 guests,1 bedroom,3 beds,1 bathroom
122,Superior 8-Bed Mixed Boutique Dormitory Room- Baga,4.38,₹931 per night,1 guest,1 bedroom,2 beds,1 shared
123,"Cherish Boulder Opal Apt|1BRW/Pool,Pvt.Balcony|Goa",5.0,"₹1,404 per night",2 guests,1 bedroom,1 bed,1 bathroom
124,Luxurious Apartment with a Pool near Candolim,4.85,"₹2,137 per night",4 guests,1 bedroom,2 beds,1 bathroom
125,1 Bedroom Furnished Apartment Closest to the Beach,4.53,"₹1,601 per night",3 guests,1 bedroom,2 beds,1 bathroom
