,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry Type,Functional Area,Employment Type,Role Category,UG ,PG ,Doctorate ,Industry
115,Checktronix India Pvt. Ltd.,4.1,(15 Reviews),Junior Data Analyst - DQS,0-1 Yrs,Not disclosed,"Dharmapuri, Chennai","data cleansing,Root cause analysis,Data analysis,agile project management,data manipulation,MySQL,market data,JIRA",https://www.naukri.com/job-listings-junior-data-analyst-dqs-checktronix-india-pvt-ltd-dharmapuri-chennai-0-to-1-years-140621501474?src=jobsearchDesk&sid=16261054371081315&xp=16&px=7,"System Analyst,","IT Services & Consulting,","IT Software - Other,","Full Time, Permanent",Programming & Design,B.Tech/B.E. in Computers,M.Tech in Computers,,
116,Mind Circus Innovation, , ,Excel VBA Jobs Chennai | VBA data analyst Jobs,0-1 Yrs,"90,000 - 1,75,000 PA.","Pondicherry/Puducherry, Chennai, Tiruchirapalli/Trichy","Excel,VBA,Data Analysis,work from home,Word,MIS,VLOOKUP,Advanced Excel",https://www.naukri.com/job-listings-excel-vba-jobs-chennai-vba-data-analyst-jobs-mind-circus-innovation-pondicherry-puducherry-chennai-tiruchirapalli-trichy-0-to-1-years-140621006539?src=jobsearchDesk&sid=16261054371081315&xp=17&px=7,"Fresher,","Animation & VFX,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Other,Any Graduate,,,
117,Checktronix India Pvt. Ltd.,4.1,(15 Reviews),Junior Data Analyst ,0-2 Yrs,Not disclosed,"Chennai, dharmapuri","data cleansing,Data analysis,data manipulation,Data modeling,MySQL,market data,Research,big data",https://www.naukri.com/job-listings-junior-data-analyst-checktronix-india-pvt-ltd-chennai-dharmapuri-0-to-2-years-080321500668?src=jobsearchDesk&sid=16261054371081315&xp=18&px=7,"Associate/Senior Associate -(NonTechnical),","IT Services & Consulting,","ITES, BPO, KPO, LPO, Customer Service, Operations,","Full Time, Permanent",Voice,Any Graduate,"MBA/PGDM in Marketing, M.Tech in Electronics/Telecommunication",,
118,IDC TECHNOLOGIES SOLUTIONS INDIA PVT LIMITED, , ,Database Engineer& Data Analyst,3-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","IT Skills,Project Management,BPO,project management,Database Engineer,Data Analyst",https://www.naukri.com/job-listings-database-engineer-data-analyst-idc-technologies-solutions-india-pvt-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-3-to-8-years-300621605576?src=jobsearchDesk&sid=16261054371081315&xp=19&px=7,"Software Developer,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Temporary/Contractual",Programming & Design,Any Graduate,Any Postgraduate,Any Doctorate,
119,IDC TECHNOLOGIES SOLUTIONS INDIA PVT LIMITED, , ,Database Engineer& Data Analyst,3-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","IT Skills,Project Management,BPO,project management,Database Engineer,Data Analyst",https://www.naukri.com/job-listings-database-engineer-data-analyst-idc-technologies-solutions-india-pvt-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-3-to-8-years-300621005575?src=jobsearchDesk&sid=16261054371081315&xp=20&px=7,"Software Developer,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Temporary/Contractual",Programming & Design,Any Graduate,Any Postgraduate,Any Doctorate,
120,Future India Services, , ,Python Engineer - Artificial intelligence/Django,3-7 Yrs,Not disclosed,"Noida, Mumbai, Hyderabad/Secunderabad, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru","Numpy,PostGIS,analysis,BitBucket,ArcGIS,Flask,Eclipse,NoSQL",https://www.naukri.com/job-listings-python-engineer-artificial-intelligence-django-future-india-services-noida-mumbai-hyderabad-secunderabad-chennai-gurgaon-gurugram-bangalore-bengaluru-3-to-7-years-230621907050?src=jobsearchDesk&sid=1626105810012128&xp=1&px=8,"Software Developer,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,"BCA in Computers, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization",Any Postgraduate,Doctorate Not Required,
121,Independent HR Consulting, , ,Algorithm Engineer - Artificial Intelligence & Machine Learning,5-10 Yrs,Not disclosed,Chennai,"IT Skills,Machine Learning,Pytorch,Algorithm Development,C++,Algorithms,Artificial Intelligence,Image Processing",https://www.naukri.com/job-listings-algorithm-engineer-artificial-intelligence-machine-learning-independent-hr-consulting-chennai-5-to-10-years-310521903674?src=jobsearchDesk&sid=1626105810012128&xp=2&px=8,"Software Developer,","IT Services & Consulting,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,"B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Computers",Any Postgraduate,Doctorate Not Required,
122,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Data Analytics and Interpretation Application Developer,6-8 Yrs, Not Disclosed by Recruiter ,Chennai,"IT Skills,Python,Data Science,AWS,Business process,Text mining,Computer languages,Network analysis",https://www.naukri.com/job-listings-data-analytics-and-interpretation-application-developer-accenture-solutions-pvt-ltd-chennai-6-to-8-years-020621906493?src=jobsearchDesk&sid=1626105810012128&xp=3&px=8,Software Developer,,"IT Software - Application Programming, Maintenance","Full Time, Permanent",Programming & Design,,,,IT Services & Consulting
123,Crayon-Data,3.5,(5 Reviews),Head Of Data Science,7-11 Yrs,Not disclosed,Chennai,"Product management,deep learning,NoSQL,data science,Aviation,Machine learning,Maya,big data",https://www.naukri.com/job-listings-head-of-data-science-crayon-data-chennai-7-to-11-years-250219503018?src=jobsearchDesk&sid=1626105810012128&xp=4&px=8,"Head/VP/GM-Technology(IT)/CTO,","IT Services & Consulting,","IT Software - eCommerce, Internet Technologies,","Full Time, Permanent",Senior Management,Any Graduate,Post Graduation Not Required,,
124,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),ACN - Digital - Analytics - Solutions AI - 07,10-12 Yrs, Not Disclosed by Recruiter ,Chennai,"IT Skills,Python,Machine Learning,Oracle,MS SQL,Big Data,Tableau,R",https://www.naukri.com/job-listings-acn-digital-analytics-solutions-ai-07-accenture-solutions-pvt-ltd-chennai-10-to-12-years-010721904604?src=jobsearchDesk&sid=1626105810012128&xp=5&px=8,Business Analyst,,"IT Software - DBA, Datawarehousing","Full Time, Permanent",System Design/Implementation/ERP/CRM,,,,IT Services & Consulting
