,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry Type,Functional Area,Employment Type,Role Category,UG ,PG ,Doctorate ,Industry
169,Firstsource Solutions Limited,3.9,(1843 Reviews),AI / ML Deployment Manager – Manager / Senior Manage role,6-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)","Data Science,R,Artificial Intelligence,Hadoop,Big Data,Data Visualization,Spark,Machine Learning",https://www.naukri.com/job-listings-ai-ml-deployment-manager-manager-senior-manage-role-firstsource-solutions-limited-hyderabad-secunderabad-bangalore-bengaluru-mumbai-all-areas-6-to-8-years-310321002344?src=jobsearchDesk&sid=16261461188952966&xp=10&px=10,"Analytics Manager,","BPO / Call Centre,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,Any Graduate,,,
170,RAIN INDUSTRIES LIMITED,3.7,(25 Reviews),Power BI Developer,4-8 Yrs,Not disclosed,Hyderabad/Secunderabad,"Data Science,Business Intelligence,data model,Power Bi,Data Visualization,Power BI Developer,Data Warehousing",https://www.naukri.com/job-listings-power-bi-developer-rain-industries-limited-hyderabad-secunderabad-4-to-8-years-200221003191?src=jobsearchDesk&sid=16261461188952966&xp=11&px=10,"Software Developer,","Engineering & Construction,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,"BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Computers",Any Postgraduate,,
171,Exponentia.ai Private Limited,3.9,(7 Reviews),Hiring Spark Developer- WFH : Exponentia.Ai,3-8 Yrs,Not disclosed,"Kolkata, Indore, Hyderabad/Secunderabad, Ahmedabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Pyspark,Big Data,Spark,IT Skills,Java,Python,Data Science,AWS",https://www.naukri.com/job-listings-hiring-spark-developer-wfh-exponentia-ai-exponentia-ai-private-limited-kolkata-indore-hyderabad-secunderabad-ahmedabad-chennai-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-090721002512?src=jobsearchDesk&sid=16261461188952966&xp=12&px=10,"Business Analyst,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",System Design/Implementation/ERP/CRM,Any Graduate,,,
172,AUREUSTECH SYSTEMS PRIVATE LIMITED , , ,Senior/Lead Data Scientist,9-14 Yrs,"30,00,000 - 40,00,000 PA.","Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","IT Skills,Python,Tableau,NLP,Algorithms,Data Analysis,Data Mining,Data Visualization",https://www.naukri.com/job-listings-senior-lead-data-scientist-aureustech-systems-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-9-to-14-years-230621004832?src=jobsearchDesk&sid=16261461188952966&xp=13&px=10,"Product Manager,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,,Any Postgraduate,Any Doctorate,
173,Spiceworks, , ,Associate Data Analyst-Product and Engineering,1-4 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru","BigQuery,Google Analytics,Tableau,SQL,verbal,written communication,IT Skills,Product engineering",https://www.naukri.com/job-listings-associate-data-analyst-product-and-engineering-spiceworks-mumbai-hyderabad-secunderabad-bangalore-bengaluru-1-to-4-years-160421501503?src=jobsearchDesk&sid=16261461188952966&xp=14&px=10,"Business/EDP Analyst,","IT Services & Consulting,","ITES, BPO, KPO, LPO, Customer Service, Operations,","Full Time, Permanent",Operations,Any Graduate,Post Graduation Not Required,,
174,Synchrony International Services Private Limited,4.5,(458 Reviews),Data Quality Developer - Analyst (L 08),1-4 Yrs,Not disclosed,Hyderabad/Secunderabad,"Computer science,Data management,Agile,Data quality,Visio,Information technology,Analytics,Monitoring",https://www.naukri.com/job-listings-data-quality-developer-analyst-l-08-synchrony-international-services-private-limited-hyderabad-secunderabad-1-to-4-years-280621501536?src=jobsearchDesk&sid=16261461188952966&xp=15&px=10,"Software Developer,","Banking,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,B.Tech/B.E. in Computers,M.Tech in Computers,,
175,Tata Consultancy Services Ltd.,4.0,(22274 Reviews),Tcs Hiring! Hyper Automation Architect,10-20 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","communication,Artificial Intelligence,ML,Business Process Analysis,Data Science Automation,Machine Learning,data visualization,analytical",https://www.naukri.com/job-listings-tcs-hiring-hyper-automation-architect-tata-consultancy-services-ltd-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-10-to-20-years-280621014565?src=jobsearchDesk&sid=16261461188952966&xp=16&px=10,"Technical Architect,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,,,
176,Eagle Genomics Ltd , , ,Sr UI Developer - Reactjs,2-7 Yrs,Not disclosed,Hyderabad/Secunderabad,"Product management,UI development,Backend,data science,Architecture,Agile,UPS,Life sciences",https://www.naukri.com/job-listings-sr-ui-developer-reactjs-eagle-genomics-ltd-hyderabad-secunderabad-2-to-7-years-090721501821?src=jobsearchDesk&sid=16261461188952966&xp=17&px=10,"Software Developer,","Pharmaceutical & Life Sciences,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
177,Eagle Genomics Ltd , , ,Sr Python Developer,2-6 Yrs,Not disclosed,Hyderabad/Secunderabad,"data science,Agile,Infrastructure,UPS,Life sciences,Python,microservices",https://www.naukri.com/job-listings-sr-python-developer-eagle-genomics-ltd-hyderabad-secunderabad-2-to-6-years-090721501820?src=jobsearchDesk&sid=16261461188952966&xp=18&px=10,"Software Developer,","Pharmaceutical & Life Sciences,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
178,Sutherland Global Services Inc, , ,Professional - Data Scientist / Analytics,3-6 Yrs,Not disclosed,Hyderabad/Secunderabad,"IT Skills,Python,Testing,Machine Learning,Tableau,Power BI,Statistical programming,Data analysis",https://www.naukri.com/job-listings-professional-data-scientist-analytics-sutherland-global-services-inc-hyderabad-secunderabad-3-to-6-years-120521500703?src=jobsearchDesk&sid=16261461188952966&xp=19&px=10,"Software Developer,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
