,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry Type,Functional Area,Employment Type,Role Category,UG ,PG ,Doctorate ,Industry
0,TTEC,4.2,(477 Reviews),"Senior Analyst, Data Science",2-5 Yrs,Not disclosed,"Hyderabad, telangana","Mining,Computer science,SAN,Cloud computing,French,SAS,Consulting,SMS",https://www.naukri.com/job-listings-senior-analyst-data-science-ttec-hyderabad-secunderabad-telangana-2-to-5-years-060121500813?src=jobsearchDesk&sid=16261424107835423&xp=1&px=2,"Software Developer,","Management Consulting,","IT Software - System Programming,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
1,OceanOfWeb, , ,Python Tech Lead - RDBMS / Data Science,7-12 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","IT Skills,Python,Data Science,DevOps,Javascript,RDBMS,Python Tech Lead,web applications",https://www.naukri.com/job-listings-python-tech-lead-rdbms-data-science-oceanofweb-hyderabad-secunderabad-bangalore-bengaluru-7-to-12-years-110621908103?src=jobsearchDesk&sid=16261424107835423&xp=2&px=2,"Team Lead/Technical Lead,","IT Services & Consulting,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,"B.Tech/B.E. in Any Specialization, BCA in Computers, B.Sc in Any Specialization",Any Postgraduate,Doctorate Not Required,
2,Conduent,3.5,(1044 Reviews),"Senior Manager , Data Science",7-12 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","IT Skills,Python,Data Science,Machine Learning,Big Data,C++,Agile,Healthcare",https://www.naukri.com/job-listings-senior-manager-data-science-conduent-hyderabad-secunderabad-bangalore-bengaluru-7-to-12-years-020721500792?src=jobsearchDesk&sid=16261424107835423&xp=3&px=2,"Outside Consultant,","IT Services & Consulting,","IT Software - Other,","Full Time, Permanent",Other,B.Tech/B.E. in Computers,Post Graduation Not Required,,
3,Silverlink Technilogies, , ,Data Science Developer - Machine Learning,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune","ITSM,Data science,Machine Learning,Python,IT Skills,Data Management,Time series,Algorithm",https://www.naukri.com/job-listings-data-science-developer-machine-learning-silverlink-technilogies-hyderabad-secunderabad-pune-5-to-10-years-300321908929?src=jobsearchDesk&sid=16261424107835423&xp=4&px=2,"Software Developer,","IT Services & Consulting,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,"B.Sc in Any Specialization, BCA in Computers, B.Tech/B.E. in Any Specialization",Any Postgraduate,Doctorate Not Required,
4,CarbyneTech India,2.7,(9 Reviews),Splunk Developer - SQL/ Data Science,1-3 Yrs,Not disclosed,Hyderabad/Secunderabad,"Data Science,Javascript,Agile,Splunk,SQL",https://www.naukri.com/job-listings-splunk-developer-sql-data-science-carbynetech-india-hyderabad-secunderabad-1-to-3-years-150621911404?src=jobsearchDesk&sid=16261424107835423&xp=5&px=2,"Software Developer,","Accounting / Auditing,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,"BCA in Computers, B.Sc in Computers, B.Tech/B.E. in Computers",Any Postgraduate,Doctorate Not Required,
5,CarbyneTech India,2.7,(9 Reviews),Splunk Developer - SQL/Data Science,1-3 Yrs,Not disclosed,Hyderabad/Secunderabad,"Data Science,Java,javascript,Javascript,Agile,Agile software development,Splunk,SQL",https://www.naukri.com/job-listings-splunk-developer-sql-data-science-carbynetech-india-hyderabad-secunderabad-1-to-3-years-020421906657?src=jobsearchDesk&sid=16261424107835423&xp=6&px=2,"Software Developer,","Accounting / Auditing,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,"B.Sc in Computers, BCA in Computers, B.Tech/B.E. in Computers",Any Postgraduate,Doctorate Not Required,
6,GEP,3.8,(230 Reviews),Senior Principal Data Engineer - Data Sciences,6-10 Yrs,Not disclosed,Hyderabad/Secunderabad,"BPO,troubleshooting,Procurement,RDBMS,Coding,SQL Tuning,application monitoring,SDLC",https://www.naukri.com/job-listings-senior-principal-data-engineer-data-sciences-gep-hyderabad-secunderabad-6-to-10-years-150621501635?src=jobsearchDesk&sid=16261424107835423&xp=7&px=2,"Datawarehousing Technician,","BPO / Call Centre,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",System Design/Implementation/ERP/CRM,Any Graduate,Any Postgraduate,,
7,TNS holdings, , ,Senior Software Engineer - Data Science,7-10 Yrs,Not disclosed,Hyderabad/Secunderabad,"Computer science,Career development,Script writing,Machine learning,Agile,MongoDB,Natural language processing,Medical insurance",https://www.naukri.com/job-listings-senior-software-engineer-data-science-tns-holdings-hyderabad-secunderabad-7-to-10-years-170220501246?src=jobsearchDesk&sid=16261424107835423&xp=8&px=2,"Software Developer,","Facility Management Services,","IT Software - eCommerce, Internet Technologies,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
8,Joveo, , ,Product Manager - Data Science ,10-15 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Health insurance,data science,Machine learning,product life cycle,Product Head,Analytics,Product strategy,Recruitment",https://www.naukri.com/job-listings-product-manager-data-science-joveo-hyderabad-secunderabad-bangalore-bengaluru-10-to-15-years-070521500966?src=jobsearchDesk&sid=16261424107835423&xp=9&px=2,"Sales/Business Development Manager,","IT Services & Consulting,","Sales, Retail, Business Development,","Full Time, Permanent",Retail Sales,Any Graduate,Post Graduation Not Required,,
9,Core Compete Pvt. Ltd.,2.8,(16 Reviews),"Senior Manager, Data Science",12-15 Yrs,Not disclosed,Hyderabad/Secunderabad,"Machine Learning,Forecasting,Deep Learning,Data Science,Azure,GCP,Artificial Intelligence,Natural Language Processing",https://www.naukri.com/job-listings-senior-manager-data-science-core-compete-pvt-ltd-hyderabad-secunderabad-12-to-15-years-280521005254?src=jobsearchDesk&sid=16261424107835423&xp=10&px=2,"Analytics Manager,","IT Services & Consulting,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,Any Graduate,Any Postgraduate,,
10,Reliance Jio Infocomm Ltd.,4.0,(10076 Reviews),Manager Data Science,5-6 Yrs,Not disclosed,Hyderabad/Secunderabad,"Report generation,Data management,Machine learning,Data structures,Business modeling,Mobile applications,Data warehousing,Predictive analytics",https://www.naukri.com/job-listings-manager-data-science-reliance-jio-infocomm-ltd-hyderabad-secunderabad-5-to-6-years-180621500627?src=jobsearchDesk&sid=16261424107835423&xp=11&px=2,"Business Analyst,","Telecom / ISP,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",System Design/Implementation/ERP/CRM,Any Graduate,M.Tech in Electronics/Telecommunication,,
11,Reliance Jio Infocomm Ltd.,4.0,(10076 Reviews),Manager Data Science,8-11 Yrs,Not disclosed,Hyderabad/Secunderabad,"Report generation,Data management,Machine learning,Data structures,Business modeling,Mobile applications,Data warehousing,Predictive analytics",https://www.naukri.com/job-listings-manager-data-science-reliance-jio-infocomm-ltd-hyderabad-secunderabad-8-to-11-years-020621501294?src=jobsearchDesk&sid=16261424107835423&xp=12&px=2,"Business Analyst,","Telecom / ISP,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",System Design/Implementation/ERP/CRM,Any Graduate,Post Graduation Not Required,,
12,AugmatrixGo, , ,Marketing Analytics with Data Science Lead,5-10 Yrs,Not disclosed,"Hyderabad, Pune","Process automation,Marketing analytics,Web analytics,data science,Analytical,Digital marketing,Adobe,Teradata",https://www.naukri.com/job-listings-marketing-analytics-with-data-science-lead-augmatrixgo-hyderabad-secunderabad-pune-5-to-10-years-261120500080?src=jobsearchDesk&sid=16261424107835423&xp=13&px=2,"Team Lead/Technical Lead,","Recruitment / Staffing,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
13,Optum Global Solutions (India) Private Limited,4.1,(1205 Reviews),Data Science - BIgdata/ Cloud Lead,4-9 Yrs,Not disclosed,Hyderabad/Secunderabad,"Kubernetes,Azure cloud,Java,API Development,Docker,Data Science,Business Intelligence,Requirement Gathering",https://www.naukri.com/job-listings-data-science-bigdata-cloud-lead-optum-global-solutions-india-private-limited-hyderabad-secunderabad-4-to-9-years-180621903823?src=jobsearchDesk&sid=16261424107835423&xp=14&px=2,"Team Lead/Technical Lead,","IT Services & Consulting,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,Any Graduate,Any Postgraduate,,
14,Aptagrim Consulting LLP,2.1,(2 Reviews),Delivery Manager - Data Science,5-9 Yrs,Not disclosed,Hyderabad,"IT Skills,Python,Data Science,Machine Learning,Cloud,Computer vision,Image processing,Data modeling",https://www.naukri.com/job-listings-delivery-manager-data-science-aptagrim-consulting-llp-hyderabad-secunderabad-5-to-9-years-060820500129?src=jobsearchDesk&sid=16261424107835423&xp=15&px=2,"Project Manager-IT/Software,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Project Management,Any Graduate,Post Graduation Not Required,,
15,CareerXperts Consulting, , ,Data Science Manager,9-14 Yrs,Not disclosed,Hyderabad/Secunderabad,"deep learning,Team management,data science,Consulting,Machine learning,Programming,Natural language processing,Econometrics",https://www.naukri.com/job-listings-data-science-manager-careerxperts-consulting-hyderabad-secunderabad-9-to-14-years-290820500393?src=jobsearchDesk&sid=16261424107835423&xp=16&px=2,"Software Developer,","Recruitment / Staffing,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,B.Tech/B.E. in Computers,Post Graduation Not Required,,
16,InfoGravity LLC, , ,"Wanted Ping, CyberArk, OKTA, Sailpoint and Data Science Trainers",3-6 Yrs,Not disclosed,Hyderabad/Secunderabad,"Sailpoint,OKTA,written communication,CyberArk,analytical,Ping,Data Science,IT Skills",https://www.naukri.com/job-listings-wanted-ping-cyberark-okta-sailpoint-and-data-science-trainers-infogravity-llc-hyderabad-secunderabad-3-to-6-years-200621000631?src=jobsearchDesk&sid=16261424107835423&xp=17&px=2,"Trainer/Faculty,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Other,B.Tech/B.E. in Any Specialization,,,
17,Meritus Intelytics Private Limited,4.3,(2 Reviews),Manager - Data Science,3-5 Yrs,Not disclosed,Hyderabad,"Computer science,advanced analytics,data science,Neural networks,Analytical,Machine learning,Algorithm development,Research",https://www.naukri.com/job-listings-manager-data-science-meritus-intelytics-private-limited-hyderabad-secunderabad-3-to-5-years-080720500106?src=jobsearchDesk&sid=16261424107835423&xp=18&px=2,"Software Developer,","Management Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,B.Tech/B.E. in Computers,Post Graduation Not Required,,
18,Diverse Lynx,2.9,(46 Reviews),Data Science - Python - SQL,2-6 Yrs,Not disclosed,Hyderabad/Secunderabad,"IT Skills,Python,Data Science,Machine Learning,Big Data,Computer science,Network security,Data structures",https://www.naukri.com/job-listings-data-science-python-sql-diverse-lynx-hyderabad-secunderabad-2-to-6-years-060520500471?src=jobsearchDesk&sid=16261424107835423&xp=19&px=2,"Software Developer,","IT Services & Consulting,","IT Software - Other,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
19,Savantys Solutions, , ,Data Science Manager - Machine Learning/Artificial Intelligence,8-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Machine Learning,Power BI,JS stack,Tableau,Artificial Intelligence,Python,IT Skills,Data Science",https://www.naukri.com/job-listings-data-science-manager-machine-learning-artificial-intelligence-savantys-solutions-hyderabad-secunderabad-bangalore-bengaluru-8-to-13-years-170621906439?src=jobsearchDesk&sid=16261424107835423&xp=20&px=2,"Analytics Manager,","IT Services & Consulting,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,"B.Tech/B.E. in Any Specialization, BCA in Any Specialization, B.Sc in Any Specialization",Any Postgraduate,Doctorate Not Required,
20,Savantys Solutions, , ,Data Science Manager - Machine Learning/Artificial Intelligence,8-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Machine Learning,Power BI,JS stack,Tableau,Artificial Intelligence,Python,IT Skills,Data Science",https://www.naukri.com/job-listings-data-science-manager-machine-learning-artificial-intelligence-savantys-solutions-hyderabad-secunderabad-bangalore-bengaluru-8-to-13-years-170621906439?src=jobsearchDesk&sid=16261429371306588&xp=1&px=3,"Analytics Manager,","IT Services & Consulting,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,"B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, BCA in Any Specialization",Any Postgraduate,Doctorate Not Required,
21,Imbibe Consultancy Services Pvt Ltd , , ,Data science Engineer,4-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru","Data Mining,Web Services,Python,R,SLQ,IT Skills,Scala,Data Structures",https://www.naukri.com/job-listings-data-science-engineer-imbibe-consultancy-services-pvt-ltd-hyderabad-secunderabad-gurgaon-gurugram-chennai-bangalore-bengaluru-4-to-8-years-300621002886?src=jobsearchDesk&sid=16261429371306588&xp=2&px=3,"Software Developer,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,,,
22,R S Consultants, , ,Data Science Engineer - Python and Azure,4-8 Yrs,Not disclosed,Hyderabad/Secunderabad,"Azure,Data Scientist,Python,Tensorflow,Java,Artificial Intelligence,Scala,SaaS",https://www.naukri.com/job-listings-data-science-engineer-python-and-azure-r-s-consultants-hyderabad-secunderabad-4-to-8-years-020621601499?src=jobsearchDesk&sid=16261429371306588&xp=3&px=3,"Software Developer,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,"BCA in Computers, B.Tech/B.E. in Computers, B.Sc in Maths, Computers, Statistics","Other Post Graduate, M.Tech in Computers, MS/M.Sc(Science) in Computers",Doctorate Not Required,
23,Inflexion Analytix Private Limited, , ,Data Scientist / Data Analyst -Business Analyst,0-3 Yrs,"3,50,000 - 4,50,000 PA.","Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","IT Skills,Python,Data Science,Machine Learning,Artificial Intelligence,Cloud,Business Intelligence,Power Bi",https://www.naukri.com/job-listings-data-scientist-data-analyst-business-analyst-inflexion-analytix-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-0-to-3-years-020721003625?src=jobsearchDesk&sid=16261429371306588&xp=4&px=3,"Data Analyst,","IT Services & Consulting,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,"Any Graduate, B.B.A/ B.M.S in Any Specialization, B.Com in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Any Specialization",,,
24,Eclature Technologies,2.8,(8 Reviews),Data science engineer (Artificial intelligence) ,4-5 Yrs,Not disclosed,Hyderabad/Secunderabad,"IT Skills,Python,Machine Learning,Big Data,AWS,Azure,Computer vision,Logistic regression",https://www.naukri.com/job-listings-data-science-engineer-artificial-intelligence-eclature-technologies-hyderabad-secunderabad-4-to-5-years-260621500187?src=jobsearchDesk&sid=16261429371306588&xp=5&px=3,"Outside Consultant,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Other,Any Graduate,Any Postgraduate,,
25,Dremio, , ,Data Science on Data Lake Storage,3-6 Yrs,Not disclosed,Hyderabad/Secunderabad,"IT Skills,Java,Python,Testing,Cloud,Jenkins,AWS,Computer science",https://www.naukri.com/job-listings-data-science-on-data-lake-storage-dremio-hyderabad-secunderabad-3-to-6-years-300421501052?src=jobsearchDesk&sid=16261429371306588&xp=6&px=3,"Software Developer,","IT Services & Consulting,","IT Software - QA & Testing,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
26,Dremio, , ,Data Science on Data Lake Storage,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad,"Computer science,Product management,Linux,Shell scripting,JDBC,MongoDB,Windows,Troubleshooting",https://www.naukri.com/job-listings-data-science-on-data-lake-storage-dremio-hyderabad-secunderabad-2-to-5-years-211120500233?src=jobsearchDesk&sid=16261429371306588&xp=7&px=3,"Technical Support Engineer,","IT Services & Consulting,","IT Software - Other,","Full Time, Permanent",Admin/Maintenance/Security/Datawarehousing,Any Graduate,Medical-MS/MD in Psychology,,
27,Invesco (India) Pvt Ltd, , ,"Sr. Data Scientist I, SIP",5-7 Yrs, Not Disclosed by Recruiter ,Hyderabad/Secunderabad,"Data Science,Decision Forests,R,Exploratory Data Analysis,Artificial Intelligence,Natural Language Processing,Sentiment Analysis,SVM",https://www.naukri.com/job-listings-sr-data-scientist-i-sip-invesco-india-pvt-ltd-hyderabad-secunderabad-5-to-7-years-120721900869?src=jobsearchDesk&sid=16261429371306588&xp=8&px=3,Data Analyst,,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI,,,,Investment Banking / Venture Capital / Private Equity
28,QuickXpert Infotech, , ,Data Science Trainee,0-5 Yrs,Not disclosed,"Kolkata, Thane, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru, Mumbai (All Areas)","python,IT Skills,Data Science,oracle,Oracle Developer,ai,python developer,python programmer",https://www.naukri.com/job-listings-data-science-trainee-quickxpert-infotech-kolkata-thane-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-0-to-5-years-230920005213?src=jobsearchDesk&sid=16261429371306588&xp=9&px=3,"Software Developer,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,"B.Com in Commerce, B.B.A/ B.M.S in Management, B.Pharma in Pharmacy, Any Graduate, Other Graduate, BCA in Computers, B.Arch in Architecture, Diploma in Any Specialization, Graduation Not Required, B.Sc in Any Specialization, B.A in Any Specialization, B.Ed in Education, B.Tech/B.E. in Any Specialization","Post Graduation Not Required, Any Postgraduate, MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization, M.Ed in Education, MCA in Computers, Other Post Graduate, M.Com in Commerce, MBA/PGDM in Any Specialization, M.A in Any Specialization, PG Diploma in Any Specialization","Any Doctorate, Doctorate Not Required",
29,Wipro Limited,3.8,(12734 Reviews),Data Scientist,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Pune","Big Data,Machine Learning,Python,Data Science,R,Logistic Regression,Data Wrangling,Hadoop",https://www.naukri.com/job-listings-data-scientist-wipro-limited-hyderabad-secunderabad-bangalore-bengaluru-pune-5-to-10-years-280621014912?src=jobsearchDesk&sid=16261429371306588&xp=10&px=3,"Data Analyst,","IT Services & Consulting,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,B.Tech/B.E. in Any Specialization,,,
30,MKS Vision Pvt. Ltd. , , ,Senior Data Analyst,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Coimbatore","Data Science,R,SQL,Artificial Intelligence,Data Analysis,Tableau,Clustering,Machine Learning",https://www.naukri.com/job-listings-senior-data-analyst-mks-vision-pvt-ltd-hyderabad-secunderabad-coimbatore-5-to-10-years-200521003034?src=jobsearchDesk&sid=16261429371306588&xp=11&px=3,"Software Developer,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,"B.Sc in Statistics, Computers",MS/M.Sc(Science) in Computers,,
31,Nisum Technologies,3.6,(34 Reviews),Data Scientist,3-7 Yrs,Not disclosed,Hyderabad/Secunderabad,"Computer science,Logistic regression,Data analysis,data science,Analytical,Data collection,Forecasting,Information technology",https://www.naukri.com/job-listings-data-scientist-nisum-technologies-hyderabad-secunderabad-3-to-7-years-070721500101?src=jobsearchDesk&sid=16261429371306588&xp=12&px=3,"Bio/Pharma Informatics-Associate/Scientist,","IT Services & Consulting,","Medical, Healthcare, R&D, Pharmaceuticals, Biotechnology,","Full Time, Permanent",R&D,Any Graduate,Post Graduation Not Required,,
32,inVentiv International Pharma Services Pvt. Ltd.,4.2,(28 Reviews),Senior Data Scientist,3-6 Yrs, Not Disclosed by Recruiter ,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru","Data Science,Power Bi,Data Visualization,Spark,R Shiny,Machine Learning,Python,SQL",https://www.naukri.com/job-listings-senior-data-scientist-inventiv-international-pharma-services-pvt-ltd-hyderabad-secunderabad-gurgaon-gurugram-bangalore-bengaluru-3-to-6-years-090721000064?src=jobsearchDesk&sid=16261429371306588&xp=13&px=3,,,Other,"Full Time, Permanent",Other,,,,Clinical Research / Contract Research
33,Invesco (India) Pvt Ltd, , ,Principal Data Analyst Comp Surve,5-8 Yrs, Not Disclosed by Recruiter ,Hyderabad/Secunderabad,"Data Science,R,Natural Language Processing,Classification,Data Analysis,Data Extraction,Tableau,Machine Learning",https://www.naukri.com/job-listings-principal-data-analyst-comp-surve-invesco-india-pvt-ltd-hyderabad-secunderabad-5-to-8-years-300621904745?src=jobsearchDesk&sid=16261429371306588&xp=14&px=3,Data Analyst,,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI,,,,Investment Banking / Venture Capital / Private Equity
34,COLLABERA,3.7,(520 Reviews),Data Scientist,5-10 Yrs,"6,00,000 - 16,00,000 PA.","Hyderabad/Secunderabad, Chennai","communication,scikit,CNN,Keras,Pytorch,analytical,RNN,statistical analysis",https://www.naukri.com/job-listings-data-scientist-collabera-technologies-private-limited-hyderabad-secunderabad-chennai-5-to-10-years-070721003799?src=jobsearchDesk&sid=16261429371306588&xp=15&px=3,"System Analyst,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,,,
35,EY Global Delivery Service,3.7,(3247 Reviews),Looking For Senior Data Modeller,5-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","IT Skills,Data Science,Machine Learning,Cloud,Big Data,Business Intelligence,Data Management,Data Analysis",https://www.naukri.com/job-listings-looking-for-senior-data-modeller-ey-global-delivery-service-hyderabad-secunderabad-chennai-bangalore-bengaluru-5-to-9-years-040721000349?src=jobsearchDesk&sid=16261429371306588&xp=16&px=3,"Team Lead/Technical Lead,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,Any Postgraduate,,
36,Nagarro Software Pvt. Ltd,4.0,(477 Reviews),Associate Staff Engineer ( Data Analytics),4-7 Yrs,Not disclosed,"Noida, Indore, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru","Data Science,R,Logistic Regression,SAS,SPSS,Data Analytics,Python",https://www.naukri.com/job-listings-associate-staff-engineer-data-analytics-nagarro-software-pvt-ltd-noida-indore-hyderabad-secunderabad-pune-gurgaon-gurugram-jaipur-bangalore-bengaluru-4-to-7-years-240621000709?src=jobsearchDesk&sid=16261429371306588&xp=17&px=3,"Technical Architect,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,B.Tech/B.E. in Any Specialization,,,
37,Winfort Services Pvt ltd , , ,Data Scientist,10-15 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Data Analysis,Hadoop,big data,R Analytics,machine learning,statistical analysis,Python,Data Science",https://www.naukri.com/job-listings-data-scientist-winfort-services-pvt-ltd-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-10-to-15-years-290621605094?src=jobsearchDesk&sid=16261429371306588&xp=18&px=3,"Analytics Manager,","IT Services & Consulting,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,Any Graduate,,,
38,Winfort Services Pvt ltd , , ,Lead Data Scientist,10-15 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Python,statistical analysis,machine learning,R Analytics,big data,Hadoop,Data Analysis,IT Skills",https://www.naukri.com/job-listings-lead-data-scientist-winfort-services-pvt-ltd-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-10-to-15-years-290621005092?src=jobsearchDesk&sid=16261429371306588&xp=19&px=3,"Analytics Manager,","IT Services & Consulting,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,Any Graduate,,,
39,IVY SOFTWARE DEVELOPMENT SERVICES PVT LTD,5.0,(3 Reviews),Data Scientist,3-7 Yrs, Not Disclosed by Recruiter ,Hyderabad/Secunderabad,"Data Science,Algorithms,Machine Learning",https://www.naukri.com/job-listings-data-scientist-ivy-software-development-services-pvt-ltd-hyderabad-secunderabad-3-to-7-years-070721000690?src=jobsearchDesk&sid=16261429371306588&xp=20&px=3,Data Scientist,,"IT Software - Application Programming, Maintenance","Full Time, Permanent",,,,,IT Services & Consulting
40,Nisum Technologies,3.6,(34 Reviews),Data Quality Engineer,3-6 Yrs,Not disclosed,Hyderabad/Secunderabad,"Computer science,Data analysis,data science,Diversity and Inclusion,Data quality,big data,Test case design,Analytics",https://www.naukri.com/job-listings-data-quality-engineer-nisum-technologies-hyderabad-secunderabad-3-to-6-years-070721500211?src=jobsearchDesk&sid=16261433423928824&xp=1&px=4,"Quality Assurance/Quality Control Executive,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",QA/Testing/Documentation,Any Graduate,Post Graduation Not Required,,
41,Joveo, , ,Programmatic Data Analyst ,1-4 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Tableau,Power BI,SQL,Excel,IT Skills,data science,Machine learning,Data Analyst",https://www.naukri.com/job-listings-programmatic-data-analyst-joveo-hyderabad-secunderabad-bangalore-bengaluru-1-to-4-years-070521500886?src=jobsearchDesk&sid=16261433423928824&xp=2&px=4,"Sales/Business Development Manager,","IT Services & Consulting,","Sales, Retail, Business Development,","Full Time, Permanent",Retail Sales,Any Graduate,Post Graduation Not Required,,
42,Virtusa Consulting Services Pvt Ltd,3.4,(1055 Reviews),Big Data Spark AWS  - Senior Software Engineer- 5- 9 Years - Pan India,5-10 Yrs, Not Disclosed by Recruiter ,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","CD,CI,Big Data,SQL Queries,Tableau,Impala,Devops,AWS Eco system",https://www.naukri.com/job-listings-big-data-spark-aws-senior-software-engineer-5-9-years-pan-india-virtusa-consulting-services-pvt-ltd-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-180521006889?src=jobsearchDesk&sid=16261433423928824&xp=3&px=4,,,Other,"Full Time, Permanent",Other,,,,IT Services & Consulting
43,CarbyneTech India,2.7,(9 Reviews),Data Scientist - Image Processing/Machine Learning,6-11 Yrs,Not disclosed,Hyderabad/Secunderabad,"Predictive Modeling,Data Science,Data Scientist,Time Series Analysis,Image Processing,Data Management,Machine Learning,Predictive Analytics",https://www.naukri.com/job-listings-data-scientist-image-processing-machine-learning-carbynetech-india-hyderabad-secunderabad-6-to-11-years-031120900445?src=jobsearchDesk&sid=16261433423928824&xp=4&px=4,"Data Analyst,","Accounting / Auditing,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,"B.Sc in Maths, Computers, Statistics, B.Tech/B.E. in Computers, BCA in Computers, B.A in Economics, Statistics, Maths",Any Postgraduate,Doctorate Not Required,
