,Company,Rating,Position,Experience,Salary,Location,Skills,Link
70,Persistent Systems Limited.,4.0,Data Architect,Persistent Systems Limited.,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Spark SQLArtifactoryJupyterEMRJenkinsCloudFormationdata securityMicroservices framework,https://www.naukri.com/job-listings-data-architect-persistent-systems-limited-hyderabad-secunderabad-pune-bangalore-bengaluru-8-to-13-years-260521005325?src=jobsearchDesk&sid=1625410607827191&xp=11&px=5
71,Replicon Software (India) Pvt Ltd,3.8,Data Scientist,Replicon Software (India) Pvt Ltd,Not disclosed,"Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",NLPMachine LearningSQLData ScienceRArtificial IntelligenceNLUAI,https://www.naukri.com/job-listings-data-scientist-replicon-software-india-pvt-ltd-noida-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-4-to-8-years-010621007285?src=jobsearchDesk&sid=1625410607827191&xp=12&px=5
72,Kroll Associates (India) Pvt Ltd,Nan,Senior Data Scientist,Kroll Associates (India) Pvt Ltd,Not disclosed,Hyderabad/Secunderabad,Business communicationDue diligencedata sciencecyber securityArtificial IntelligenceMachine learningTechnical leadershipPython,https://www.naukri.com/job-listings-senior-data-scientist-kroll-associates-india-pvt-ltd-hyderabad-secunderabad-3-to-7-years-280521501968?src=jobsearchDesk&sid=1625410607827191&xp=13&px=5
73,Core Compete Pvt. Ltd.,3.0,Senior Data Scientist - Python,Core Compete Pvt. Ltd.,Not disclosed,"Hyderabad/Secunderabad, Pune",Data ScienceMachine LearningPythonPredictive ModelingStatistical ModelingForecastingDeep LearningSQL,https://www.naukri.com/job-listings-senior-data-scientist-python-core-compete-pvt-ltd-hyderabad-secunderabad-pune-5-to-6-years-010621004497?src=jobsearchDesk&sid=1625410607827191&xp=14&px=5
74,Core Compete Pvt. Ltd.,3.0,Senior Data Scientist - SAS,Core Compete Pvt. Ltd.,Not disclosed,"Hyderabad/Secunderabad, Pune",Data ScienceSASMachine LearningPredictive ModelingSAS MacrosSAS viyaAdvanced AnalyticsSAS Programming,https://www.naukri.com/job-listings-senior-data-scientist-sas-core-compete-pvt-ltd-hyderabad-secunderabad-pune-5-to-6-years-010621004374?src=jobsearchDesk&sid=1625410607827191&xp=15&px=5
75,SoulPage IT Solutions,Nan,Sr. Data Scientist,SoulPage IT Solutions,Not disclosed,Hyderabad/Secunderabad,IT SkillsPythonData ScienceMachine LearningBig Datadeep learningmetadataSystem programming,https://www.naukri.com/job-listings-sr-data-scientist-soulpage-it-solutions-hyderabad-secunderabad-4-to-6-years-210421501096?src=jobsearchDesk&sid=1625410607827191&xp=16&px=5
76,Microsoft Corporation,4.1,Senior Data Scientist,Microsoft Corporation,Not disclosed,Hyderabad/Secunderabad,IT SkillsJavaPythonData ScienceAzurecyber securityMySQLMachine learning,https://www.naukri.com/job-listings-senior-data-scientist-microsoft-india-r-and-d-pvt-ltd-hyderabad-secunderabad-5-to-9-years-200521500528?src=jobsearchDesk&sid=1625410607827191&xp=17&px=5
77,Talent Linked Consultancy ,Nan,Data Scientist | Leading Healthcare Firm |Hyderabad,Talent Linked Consultancy ,"8,00,000 - 16,00,000 PA.",Hyderabad/Secunderabad(Jubilee Hills),TensorflowData ScienceCnnScipyRetail SalesData AnalysisKnnData Analytics,https://www.naukri.com/job-listings-data-scientist-leading-healthcare-firm-hyderabad-talent-linked-consultancy-hyderabad-secunderabad-3-to-8-years-200521003576?src=jobsearchDesk&sid=1625410607827191&xp=18&px=5
78,Shreshi Management Services Pvt. Ltd. ,Nan,Data Scientist,Shreshi Management Services Pvt. Ltd. ,"10,00,000 - 12,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru",verbal communicationMatlabPerlwrittenRmachine learningPythondata science,https://www.naukri.com/job-listings-data-scientist-shreshi-management-services-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-3-to-7-years-180621004864?src=jobsearchDesk&sid=1625410607827191&xp=19&px=5
79,IVY SOFTWARE DEVELOPMENT SERVICES PVT LTD,5.0,Data Scientist,IVY SOFTWARE DEVELOPMENT SERVICES PVT LTD,Not disclosed,Hyderabad/Secunderabad,Data ScienceAlgorithmsSQL QueriesAirflowDockerSQLGCPPython,https://www.naukri.com/job-listings-data-scientist-ivy-software-development-services-pvt-ltd-hyderabad-secunderabad-2-to-7-years-110621004545?src=jobsearchDesk&sid=1625410607827191&xp=20&px=5
