,Company,Rating,Position,Experience,Salary,Location,Skills,Link
20,Quality Engineering  Software Technologies Pvt. Ltd.,3.3,Data Science,Quality Engineering  Software Technologies Pvt. Ltd.,Not disclosed,Bangalore/Bengaluru,IT SkillsTestingData ScienceMachine LearningCloudAWSAzureApplication design,https://www.naukri.com/job-listings-data-science-quality-engineering-software-technologies-pvt-ltd-bangalore-bengaluru-6-to-9-years-250621501195?src=jobsearchDesk&sid=16254084772641621&xp=1&px=3
21,Accenture Solutions Pvt Ltd,4.0,Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,IT SkillsData ScienceMachine LearningArtificial IntelligencePublishingProcess orientationArchitectureConsulting,https://www.naukri.com/job-listings-team-lead-consultant-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-7-to-11-years-230621906029?src=jobsearchDesk&sid=16254084772641621&xp=2&px=3
22,DXC Technology,3.5,Associate Professional Data Sciences,DXC Technology,Not disclosed,Bangalore/Bengaluru,HTML5SpotfireTableauPythonSPSSmachine learningRQlikview,https://www.naukri.com/job-listings-associate-professional-data-sciences-dxc-technology-bangalore-bengaluru-0-to-2-years-220421501142?src=jobsearchDesk&sid=16254084772641621&xp=3&px=3
23,Quality Engineering  Software Technologies Pvt. Ltd.,3.3,Data Science consultant,Quality Engineering  Software Technologies Pvt. Ltd.,Not disclosed,Bangalore/Bengaluru,big dataDockersnumpyDevOpsmathplotlibkerasspacyPython,https://www.naukri.com/job-listings-data-science-consultant-quality-engineering-software-technologies-pvt-ltd-bangalore-bengaluru-3-to-6-years-220621501131?src=jobsearchDesk&sid=16254084772641621&xp=4&px=3
24,NewsHunt,Nan,Data Science - Boot Camp,NewsHunt,Not disclosed,Bangalore/Bengaluru,data scienceMachine learningProgrammingInfrastructureDeploymentResearchDistribution systemMonitoring,https://www.naukri.com/job-listings-data-science-boot-camp-newshunt-bangalore-bengaluru-2-to-5-years-210621500699?src=jobsearchDesk&sid=16254084772641621&xp=5&px=3
25,Siemens Limited,4.2,Senior Data Science Engineer,Siemens Limited,Not disclosed,Bangalore/Bengaluru,Data analysisGITCodingSoftware configuration managementConsultingIntegration testingAgileUnit testing,https://www.naukri.com/job-listings-senior-data-science-engineer-siemens-limited-bangalore-bengaluru-0-to-5-years-100621500954?src=jobsearchDesk&sid=16254084772641621&xp=6&px=3
26,CHANGE LEADERS CONSULTING,Nan,Sr. Associate - Data Science,CHANGE LEADERS CONSULTING,Not disclosed,Bangalore/Bengaluru,Machine LearningPythonSQLPredictive ModelingPysparkRHiveHadoop,https://www.naukri.com/job-listings-sr-associate-data-science-change-leaders-consulting-bangalore-bengaluru-2-to-4-years-210621608209?src=jobsearchDesk&sid=16254084772641621&xp=7&px=3
27,RGF Professional Recruitment,2.8,Application Developer Sr. Data Science,RGF Professional Recruitment,Not disclosed,Bengaluru,Computer scienceMS SQLData analysisdata scienceData modelingWeb developmentWorkflowStored procedures,https://www.naukri.com/job-listings-application-developer-sr-data-science-rgf-professional-recruitment-bengaluru-bangalore-6-to-8-years-220321500830?src=jobsearchDesk&sid=16254084772641621&xp=8&px=3
28,NetApp,4.1,Senior Data Science Engineer,NetApp,Not disclosed,Bangalore/Bengaluru,Computer scienceData analysisdata scienceData managementAnalyticalMachine learningapplication architectureHigh level design,https://www.naukri.com/job-listings-senior-data-science-engineer-netapp-india-private-limited-bangalore-bengaluru-7-to-12-years-070521906950?src=jobsearchDesk&sid=16254084772641621&xp=9&px=3
29,Nuware  Systems Pvt Ltd,4.1,Analyst - Data Science,Nuware  Systems Pvt Ltd,Not disclosed,Bengaluru,Data analysisRDBMSBfsiApplication programmingMachine learningInvestment bankingData miningMacros,https://www.naukri.com/job-listings-analyst-data-science-nuware-systems-pvt-ltd-bengaluru-bangalore-3-to-6-years-301019501355?src=jobsearchDesk&sid=16254084772641621&xp=10&px=3
30,Epsilon,3.8,Data Science Analyst 2,Epsilon,Not disclosed,Bangalore/Bengaluru,IT SkillsTestingData ScienceData analysisFactor analysisAnalyticalMachine learningRisk management,https://www.naukri.com/job-listings-data-science-analyst-2-epsilon-bangalore-bengaluru-2-to-5-years-210421500356?src=jobsearchDesk&sid=16254084772641621&xp=11&px=3
31,Bloom Consulting Services,4.1,Analyst (Data Science),Bloom Consulting Services,Not disclosed,Bengaluru,githubVersion controldata scienceSQL databaseAgile developmentcontrol testingConsultingMachine learning,https://www.naukri.com/job-listings-analyst-data-science-bloom-consulting-services-bengaluru-bangalore-3-to-8-years-201218500271?src=jobsearchDesk&sid=16254084772641621&xp=12&px=3
32,CRED,Nan,data science analyst,CRED,Not disclosed,Bangalore/Bengaluru,Analytical skillsHealth insurancedata scienceData qualityData miningbig dataOperationsMonitoring,https://www.naukri.com/job-listings-data-science-analyst-cred-bangalore-bengaluru-1-to-3-years-170621502054?src=jobsearchDesk&sid=16254084772641621&xp=13&px=3
33,Catalyst,3.7,Data Science/analysis Expert - Machine Learning,Catalyst,Not disclosed,Bangalore/Bengaluru,IT SkillsPythonData ScienceMachine LearningTableauanalyticsdeep learningalgorithms,https://www.naukri.com/job-listings-data-science-analysis-expert-machine-learning-catalyst-bangalore-bengaluru-2-to-6-years-160919001838?src=jobsearchDesk&sid=16254084772641621&xp=14&px=3
34,Cigna TTK,4.0,Data Science Analyst,Cigna TTK,Not disclosed,Bangalore/Bengaluru,SASIVRAnalyticalHealthcarePredictive modelingAdobeEconometricsFinancial services,https://www.naukri.com/job-listings-data-science-analyst-cigna-ttk-health-insurance-company-limited-bangalore-bengaluru-3-to-5-years-110521500322?src=jobsearchDesk&sid=16254084772641621&xp=15&px=3
35,GAMA India,Nan,Data Science Engineer - BFSI,GAMA India,Not disclosed,Bangalore/Bengaluru,Data ScienceData ScientistBig DataMachine LearningStatisticsPython,https://www.naukri.com/job-listings-data-science-engineer-bfsi-gama-india-bangalore-bengaluru-3-to-7-years-240621906452?src=jobsearchDesk&sid=16254084772641621&xp=16&px=3
36,EMSOL Employment Solutions ,Nan,Manager Data Science,EMSOL Employment Solutions ,"9,00,000 - 14,00,000 PA.","Pune, Bangalore/Bengaluru, Delhi / NCR",Data ScienceRPower Biprescriptive modelsMachine LearningPredictive AnalyticsPython,https://www.naukri.com/job-listings-manager-data-science-emsol-employment-solutions-pune-bangalore-bengaluru-delhi-ncr-9-to-14-years-020721004708?src=jobsearchDesk&sid=16254084772641621&xp=17&px=3
37,FUTURES AND CAREERS,Nan,Deputy Manager - Data Science,FUTURES AND CAREERS,Not disclosed,Bangalore/Bengaluru,IT SkillsPythonData ScienceMachine LearningBigData technologiesR ProgrammingPandasNumPy,https://www.naukri.com/job-listings-deputy-manager-data-science-futures-and-careers-bangalore-bengaluru-8-to-12-years-240621600495?src=jobsearchDesk&sid=16254084772641621&xp=18&px=3
38,Catalyst,3.7,Data Science Product Manager- Artificial Intelligence/Machine Learning,Catalyst,Not disclosed,Bangalore/Bengaluru,TensorflowYOLOResnetKubernetesMachine LearningagileNoSQLR,https://www.naukri.com/job-listings-data-science-product-manager-artificial-intelligence-machine-learning-catalyst-bangalore-bengaluru-4-to-9-years-210621906123?src=jobsearchDesk&sid=16254084772641621&xp=19&px=3
39,Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,IT SkillsData ScienceMachine LearningArtificial IntelligenceBusiness administrationAnalystPublishingArchitecture,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-080621901553?src=jobsearchDesk&sid=16254084772641621&xp=20&px=3
40,FUTURES AND CAREERS,Nan,Deputy Manager - Data Science,FUTURES AND CAREERS,Not disclosed,Bangalore/Bengaluru,IT SkillsPythonData ScienceMachine LearningBigData technologiesR ProgrammingPandasNumPy,https://www.naukri.com/job-listings-deputy-manager-data-science-futures-and-careers-bangalore-bengaluru-8-to-12-years-240621600495?src=jobsearchDesk&sid=16254085052034419&xp=1&px=4
41,Dreamz Consultants,Nan,Data Science - Manager,Dreamz Consultants,Not disclosed,"Noida, Bangalore/Bengaluru",IT SkillsPythonSoftware DevelopmentData ScienceMachine LearningAzureNLPPower BI,https://www.naukri.com/job-listings-data-science-manager-dreamz-consultants-noida-bangalore-bengaluru-10-to-15-years-220621600465?src=jobsearchDesk&sid=16254085052034419&xp=2&px=4
42,Catalyst,Nan,Data Science Product Manager- Artificial Intelligence/Machine Learning,Catalyst,Not disclosed,Bangalore/Bengaluru,TensorflowYOLOResnetKubernetesMachine LearningagileNoSQLR,https://www.naukri.com/job-listings-data-science-product-manager-artificial-intelligence-machine-learning-catalyst-bangalore-bengaluru-4-to-9-years-210621906123?src=jobsearchDesk&sid=16254085052034419&xp=3&px=4
43,Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,IT SkillsData ScienceMachine LearningArtificial IntelligenceBusiness administrationAnalystPublishingArchitecture,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-080621901553?src=jobsearchDesk&sid=16254085052034419&xp=4&px=4
44,Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,IT SkillsData ScienceMachine LearningArtificial IntelligenceAnalystPublishingArchitectureConsulting,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-080621901236?src=jobsearchDesk&sid=16254085052034419&xp=5&px=4
