,Company,Rating,Position,Experience,Salary,Location,Skills,Link
75,Hexaware Technologies Ltd.,3.4,Sr. MS BI Developer/Data Analyst/Lead - SSIS/SSRS/SSAS,Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai",SSRSMS SSISETLSSASMSBISSIS,https://www.naukri.com/job-listings-sr-ms-bi-developer-data-analyst-lead-ssis-ssrs-ssas-hexaware-technologies-ltd-mumbai-pune-chennai-3-to-8-years-101120005209?src=jobsearchDesk&sid=16254838064348324&xp=16&px=5
76,PRIMUS Global Technologies Private Limited  ,Nan,Mindtree Hiring-Data ScienceWith Python _Bangalore,PRIMUS Global Technologies Private Limited  ,"12,00,000 - 22,00,000 PA.","Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Data ScienceRXgboostNeural NetworksSQL DatabaseUnsupervised LearningDecision TreesMachine Learning,https://www.naukri.com/job-listings-mindtree-hiring-data-sciencewith-python-bangalore-primus-global-technologies-private-limited-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-230621600446?src=jobsearchDesk&sid=16254838064348324&xp=17&px=5
77,ExecBoardinAsia,Nan,Data Scientist,ExecBoardinAsia,Not disclosed,Chennai,Statistical analysisdata sciencemodel developmentResearchMonitoring,https://www.naukri.com/job-listings-data-scientist-execboardinasia-chennai-5-to-10-years-300620500434?src=jobsearchDesk&sid=16254838064348324&xp=18&px=5
78,Hitachi ABB Power Grids,3.7,Data Scientist,Hitachi ABB Power Grids,Not disclosed,Chennai,ProcurementSystem testingISOdata scienceCodingAgile developmentData collectionData mining,https://www.naukri.com/job-listings-data-scientist-hitachi-abb-power-grids-chennai-5-to-8-years-280521501740?src=jobsearchDesk&sid=16254838064348324&xp=19&px=5
79,Diverse Lynx,2.9,Data Scientist,Diverse Lynx,Not disclosed,Chennai,IT SkillsJavaPythonData ScienceMachine Learningdeep learningBusiness AnalystSCALA,https://www.naukri.com/job-listings-data-scientist-diverse-lynx-chennai-3-to-9-years-270820500324?src=jobsearchDesk&sid=16254838064348324&xp=20&px=5
80,Caspex Tech LLP,Nan,Data Scientist/ Machine Learning Consultant,Caspex Tech LLP,Not disclosed,Chennai,Machine LearningDeep LearningSQLIT SkillsPythonData ScienceAWSPredictive Modeling,https://www.naukri.com/job-listings-data-scientist-machine-learning-consultant-caspex-tech-llp-chennai-5-to-10-years-180621003367?src=jobsearchDesk&sid=16254838380281016&xp=1&px=6
81,Buckman,Nan,Data Scientist,Buckman,Not disclosed,Chennai,Water treatmentMinitabdata scienceAnalyticalMachine learningData miningMATLABSustainable development,https://www.naukri.com/job-listings-data-scientist-buckman-chennai-3-to-8-years-160320500569?src=jobsearchDesk&sid=16254838380281016&xp=2&px=6
82,BAHWAN CYBERTEK PRIVATE LIMITED,3.3,Data Scientist,BAHWAN CYBERTEK PRIVATE LIMITED,"20,00,000 - 25,00,000 PA.",Chennai,PythonR StudioDatabricks NotebooksAnacondaApache SparkBig dataJupyterAWS S3,https://www.naukri.com/job-listings-data-scientist-bahwan-cybertek-private-limited-chennai-7-to-12-years-130521001910?src=jobsearchDesk&sid=16254838380281016&xp=3&px=6
83,Naukri Premium - Employer Services,Nan,Data Scientist,Naukri Premium - Employer Services,"16,00,000 - 30,00,000 PA.",Chennai,Data ScienceMachine LearningDeep Learning,https://www.naukri.com/job-listings-data-scientist-naukri-employer-services-chennai-6-to-11-years-010621007007?src=jobsearchDesk&sid=16254838380281016&xp=4&px=6
84,Perex Engineering Pvt Ltd ,Nan,Data Scientist,Perex Engineering Pvt Ltd ,"15,00,000 - 25,00,000 PA.","Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Data Scienceaws sagemakerMachine Learningmodel buildingR programmingscrumConfluencePycharm,https://www.naukri.com/job-listings-data-scientist-perex-engineering-pvt-ltd-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-8-years-150621009153?src=jobsearchDesk&sid=16254838380281016&xp=5&px=6
