,Company,Rating,Position,Experience,Salary,Location,Skills,Link
131,Accenture Solutions Pvt Ltd,4.0,Microsoft Modern Data Platform Application Developer,Accenture Solutions Pvt Ltd,Not disclosed,Mumbai,IT SkillsQuality AssuranceData ScienceBusiness processProcess analysisManager Quality AssuranceAnalyticalConsulting,https://www.naukri.com/job-listings-microsoft-modern-data-platform-application-developer-accenture-solutions-pvt-ltd-mumbai-6-to-8-years-080621908168?src=jobsearchDesk&sid=16254846709369202&xp=12&px=8
132,Accenture Solutions Pvt Ltd,4.0,Microsoft Modern Data Platform Application Developer,Accenture Solutions Pvt Ltd,Not disclosed,Mumbai,analyticalcommunicationMicrosoft Modern Data PlatformQuality AssuranceIT SkillsData ScienceBusiness processProcess analysis,https://www.naukri.com/job-listings-microsoft-modern-data-platform-application-developer-accenture-solutions-pvt-ltd-mumbai-8-to-10-years-010621907184?src=jobsearchDesk&sid=16254846709369202&xp=13&px=8
133,K & R Enterprises,5.0,Head - Data Engineering & Analytics,K & R Enterprises,Not disclosed,"Noida, Mumbai",IT SkillsPythonTestingData ScienceMachine LearningPerformance TestingBig Datadata modeling,https://www.naukri.com/job-listings-head-data-engineering-analytics-k-r-enterprises-noida-mumbai-6-to-11-years-300321903388?src=jobsearchDesk&sid=16254846709369202&xp=14&px=8
134,IQVIA RDS India Pvt Ltd ,Nan,Sr. Records Management Associate/Records Management Analyst,IQVIA RDS India Pvt Ltd ,Not disclosed,"Mumbai, Bangalore/Bengaluru",ICH-GCP GuidelinesRecords ManagementData ScienceClinical ResearchGCPICHInformation Technology,https://www.naukri.com/job-listings-sr-records-management-associate-records-management-analyst-iqvia-rds-india-pvt-ltd-mumbai-bangalore-bengaluru-2-to-7-years-240621003552?src=jobsearchDesk&sid=16254846709369202&xp=15&px=8
135,TalentCo Search Pvt Ltd,Nan,Data Scientist - KPO - IIT/NIT/BITS,TalentCo Search Pvt Ltd,Not disclosed,"Mumbai, Bangalore/Bengaluru, Delhi NCR",machine learningRPythonData ScienceBayesian methodsData ScientistData ManagementData Analytics,https://www.naukri.com/job-listings-data-scientist-kpo-iit-nit-bits-talentco-search-pvt-ltd-mumbai-bangalore-bengaluru-delhi-ncr-2-to-7-years-300321902962?src=jobsearchDesk&sid=16254846709369202&xp=16&px=8
136,Placewell Consultants,Nan,Data Scientist,Placewell Consultants,Not disclosed,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru",Data ScienceRNLPSasStatistical Simulation / Regression ModelingMachine LearningMLPython,https://www.naukri.com/job-listings-data-scientist-placewell-consultants-mumbai-gurgaon-gurugram-bangalore-bengaluru-3-to-8-years-090621000672?src=jobsearchDesk&sid=16254846709369202&xp=17&px=8
137,SKILLVENTORY,Nan,Full Stack Data Scientist With Leading Investment Bank,SKILLVENTORY,Not disclosed,"Mumbai, Bangalore/Bengaluru",Scipyscikit-learnnltkNumpyData SciencePytorchseabornspark,https://www.naukri.com/job-listings-full-stack-data-scientist-with-leading-investment-bank-skillventory-mumbai-bangalore-bengaluru-5-to-10-years-080521600748?src=jobsearchDesk&sid=16254846709369202&xp=18&px=8
138,Placewell Consultants,Nan,Data scientist,Placewell Consultants,Not disclosed,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru",Data ScienceRSASComputer ScienceMachine LearningStatisticsPython,https://www.naukri.com/job-listings-data-scientist-placewell-consultants-mumbai-gurgaon-gurugram-bangalore-bengaluru-3-to-8-years-070621002691?src=jobsearchDesk&sid=16254846709369202&xp=19&px=8
139,CAMSDATA TECHNOLOGIES INDIA PVT LTD,4.3,Analyst Data Scientist,CAMSDATA TECHNOLOGIES INDIA PVT LTD,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",IT SkillsPythonData ScienceMachine LearningBig DataComputer scienceEvaluationData analysis,https://www.naukri.com/job-listings-analyst-data-scientist-camsdata-technologies-india-pvt-ltd-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-8-years-210518500355?src=jobsearchDesk&sid=16254846709369202&xp=20&px=8
140,AG Technologies pvt Ltd,2.3,Data Analyst,AG Technologies pvt Ltd,"2,00,000 - 4,00,000 PA.","Noida, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",communicationAPO2CSAPP2PanalyticalSQLSAP Database,https://www.naukri.com/job-listings-data-analyst-ag-technologies-pvt-ltd-noida-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-2-years-190621603270?src=jobsearchDesk&sid=16254847074386805&xp=1&px=9
