Company,Rating,Position,Experience,Salary,Location,Skills,Link
Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,AnalystPublishingArchitecturedata scienceArtificial IntelligenceConsultingMachine learningIndividual Contributor,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-010721901390?src=jobsearchDesk&sid=16253721266663344&xp=7&px=1
Conduent,3.5,"Senior Manager , Data Science",Conduent,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",IT SkillsPythonData ScienceMachine LearningBig DataC++AgileHealthcare,https://www.naukri.com/job-listings-senior-manager-data-science-conduent-hyderabad-secunderabad-bangalore-bengaluru-7-to-12-years-020721500792?src=jobsearchDesk&sid=16253721266663344&xp=8&px=1
Grail Research,2.2,Data science - Analyst,Grail Research,"5,00,000 - 8,00,000 PA.","Bangalore/Bengaluru, Delhi / NCR",TableauSQLPythonData ScienceAirflowSnowflakeData VisualizationJupyter,https://www.naukri.com/job-listings-data-science-analyst-grail-research-bangalore-bengaluru-delhi-ncr-1-to-3-years-230621004661?src=jobsearchDesk&sid=16253721266663344&xp=9&px=1
JPMorgan Services India Pvt. Ltd,4.1,Data Science Analyst,JPMorgan Services India Pvt. Ltd,Not disclosed,"Mumbai, Bangalore/Bengaluru",Data ScienceRArtificial IntelligenceExploratory AnalysisMarketing AnalyticsMachine LearningDeep LearningPython,https://www.naukri.com/job-listings-data-science-analyst-j-p-morgan-services-india-private-limited-mumbai-bangalore-bengaluru-4-to-9-years-090621904294?src=jobsearchDesk&sid=16253721266663344&xp=10&px=1
BT Global Services,4.2,Specialist Design Engineer - Data Science,BT Global Services,Not disclosed,Bangalore/Bengaluru,Data ValidationData ModellingSASPower BIRegressionData MiningTableauTeradata,https://www.naukri.com/job-listings-specialist-design-engineer-data-science-bt-global-business-services-pvt-ltd-bangalore-bengaluru-2-to-3-years-300621900859?src=jobsearchDesk&sid=16253721266663344&xp=11&px=1
Accenture Solutions Pvt Ltd,4.0,Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,Analytical skillsStatistical analysisPublishingdata scienceArchitectureUnderwritingArtificial IntelligenceConsulting,https://www.naukri.com/job-listings-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-280621907403?src=jobsearchDesk&sid=16253721266663344&xp=12&px=1
Accenture Solutions Pvt Ltd,4.0,Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,IT SkillsData ScienceArtificial IntelligenceAnalytical skillsAnalystStatistical analysisPublishingArchitecture,https://www.naukri.com/job-listings-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-010721901800?src=jobsearchDesk&sid=16253721266663344&xp=13&px=1
Trigent Software,3.8,Data Science,Trigent Software,Not disclosed,"Pune, Chennai, Coimbatore, Bangalore/Bengaluru",statisticaldata manipulationScalaperditionnosql Databasedata wrangling projectspackagesnosql,https://www.naukri.com/job-listings-data-science-trigent-software-private-limited-pune-chennai-coimbatore-bangalore-bengaluru-6-to-8-years-240621607279?src=jobsearchDesk&sid=16253721266663344&xp=14&px=1
Trigent Software,3.8,Data Science,Trigent Software,Not disclosed,"Pune, Chennai, Coimbatore, Bangalore/Bengaluru",SparkRdata structureScaladata extractiondata analysispythonHive,https://www.naukri.com/job-listings-data-science-trigent-software-private-limited-pune-chennai-coimbatore-bangalore-bengaluru-6-to-8-years-240621007277?src=jobsearchDesk&sid=16253721266663344&xp=15&px=1
Hexaware Technologies Ltd.,3.4,Analytics Data science and IOT Lead,Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru",pythonDatabricksAzure MLMachine LearningIT SkillsData ScienceAzuredeep learning,https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-9-to-12-years-290621500192?src=jobsearchDesk&sid=16253721266663344&xp=16&px=1
