,Company,Rating,Review Count,Position,Experience,Salary,Location,Skills,Link
309,Serving Skill, , ,Data Scientist - Machine Learning/Deep Learning,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science,Tensorflow,ElasticSearch,Data Scientist,Data Mining,MongoDB,Algorithm,Machine Learning",https://www.naukri.com/job-listings-data-scientist-machine-learning-deep-learning-serving-skill-bangalore-bengaluru-4-to-6-years-250121903135?src=jobsearchDesk&sid=1625996842849449&xp=10&px=17
310,TalentCo Search Pvt Ltd, , ,Data Scientist - Banking Domain,9-14 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science,Data Management,Data Analytics,Machine Learning,Analytics,SQL,Python",https://www.naukri.com/job-listings-data-scientist-banking-domain-talentco-search-pvt-ltd-bangalore-bengaluru-9-to-14-years-150321906437?src=jobsearchDesk&sid=1625996842849449&xp=11&px=17
311,Huquo Consulting Pvt. Ltd, , ,Assistant Manager/Manager/Data Scientist - Python/Machine Learning,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science,Predictive Modeling,Tensorflow,Keras,NLP,Data Scientist,Data Management,Data wrangling",https://www.naukri.com/job-listings-assistant-manager-manager-data-scientist-python-machine-learning-huquo-consulting-pvt-ltd-bangalore-bengaluru-3-to-8-years-120321905764?src=jobsearchDesk&sid=1625996842849449&xp=12&px=17
312,TalentCo Search Pvt Ltd, , ,Lead Data Scientist - Banking,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science,data analysis,Data Scientist,Python,SQL",https://www.naukri.com/job-listings-lead-data-scientist-banking-talentco-search-pvt-ltd-bangalore-bengaluru-4-to-9-years-310521904890?src=jobsearchDesk&sid=1625996842849449&xp=13&px=17
313,TalentStack, , ,Data Scientist - Predictive Analytics,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Java,Python,Data Science,Machine Learning,Predictive Modeling,Data Scientist,Data Management",https://www.naukri.com/job-listings-data-scientist-predictive-analytics-talentstack-bangalore-bengaluru-1-to-3-years-250621902694?src=jobsearchDesk&sid=1625996842849449&xp=14&px=17
314,GLOBALFOUNDRIES Engineering Private Limited,4.2,(23 Reviews),Principal Engineer Integration & Yield (Data Analytics),5-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science,Java,R,Data Scientist,Time Series Analysis,Keras,Pytorch,Tensorflow",https://www.naukri.com/job-listings-principal-engineer-integration-yield-data-analytics-globalfoundries-engineering-private-limited-bangalore-bengaluru-5-to-7-years-280621906721?src=jobsearchDesk&sid=1625996842849449&xp=15&px=17
315,Endless Gain PVT Limited, , ,Data Engineer,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Big Data,Api Production,ETL,Data Science,Hive,Data Wrangling,Hadoop,Mapreduce",https://www.naukri.com/job-listings-data-engineer-endless-gain-pvt-limited-bangalore-bengaluru-2-to-6-years-230221003515?src=jobsearchDesk&sid=1625996842849449&xp=16&px=17
316,ENCORA INNOVATION LABS INDIA PRIVATE LIMITED,4.3,(9 Reviews),Software Data Engineer,4-8 Yrs,"6,00,000 - 16,00,000 PA.",Bangalore/Bengaluru,"Java,Tableau,SQL,IT Skills,Python,Testing,Data Science,AWS",https://www.naukri.com/job-listings-software-data-engineer-encora-innovation-labs-india-private-limited-bangalore-bengaluru-4-to-8-years-260521602401?src=jobsearchDesk&sid=1625996842849449&xp=17&px=17
317,Zynga, , ,Data Analyst II,2-5 Yrs,Not disclosed,Bengaluru,"IT Skills,Python,Data Science,Machine Learning,Tableau,Computer science,deep learning,QlikView",https://www.naukri.com/job-listings-data-analyst-ii-zynga-inc-bengaluru-bangalore-2-to-5-years-290121501526?src=jobsearchDesk&sid=1625996842849449&xp=18&px=17
318,Mindtree Limited,4.0,(1721 Reviews),Databricks - Senior Software Engineer,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Data analysis,data science,Machine learning,SCALA,Data processing,Routing,Data quality,data visualization",https://www.naukri.com/job-listings-databricks-senior-software-engineer-mindtree-limited-bangalore-bengaluru-3-to-6-years-090721500489?src=jobsearchDesk&sid=1625996842849449&xp=19&px=17
319,Yodlee Infotech Private Limited,3.4,(152 Reviews),Data Analyst - Intern,0-1 Yrs,Not disclosed,Bangalore/Bengaluru,"Excel,Power BI,written communication,Oracle 10G,J2EE,debugging,Java,analytical",https://www.naukri.com/job-listings-data-analyst-intern-yodlee-infotech-private-limited-bangalore-bengaluru-0-to-1-years-150621005823?src=jobsearchDesk&sid=1625996842849449&xp=20&px=17
320,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),ACN - Digital - Data & Insights - 07,8-10 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru","Data Management,Cassandra,Kafka,Flume,SQL Server,Informatica IDQ,Data Science,No-SQL",https://www.naukri.com/job-listings-acn-digital-data-insights-07-accenture-solutions-pvt-ltd-mumbai-gurgaon-gurugram-bangalore-bengaluru-8-to-10-years-010721904234?src=jobsearchDesk&sid=16259968808395278&xp=1&px=18
321,Mindtree Limited,4.0,(1721 Reviews),Data Bricks - Module Lead,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Data Science,Big Data,Power BI,Azure,ERP,Data analysis,Data processing",https://www.naukri.com/job-listings-data-bricks-module-lead-mindtree-limited-bangalore-bengaluru-4-to-7-years-010421500844?src=jobsearchDesk&sid=16259968808395278&xp=2&px=18
322,Sandvik Asia Pvt. Ltd.,4.2,(493 Reviews),Data Engineer,4-7 Yrs,"7,00,000 - 15,00,000 PA.",Bangalore/Bengaluru,"Data Science,R,Power Bi,Analysis Services,Data Management,Big Data,Data Modeling,Data Warehousing",https://www.naukri.com/job-listings-data-engineer-sandvik-asia-pvt-ltd-bangalore-bengaluru-4-to-7-years-181218001815?src=jobsearchDesk&sid=16259968808395278&xp=3&px=18
323,GENPACT India Private Limited,4.0,(10713 Reviews),Data Analyst/Scientist- (Counterparty Credit risk),4-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Basel,Data Analysis,Credit Risk,data scientist,counterparty credit risk,data analyst,Python",https://www.naukri.com/job-listings-data-analyst-scientist-counterparty-credit-risk-genpact-india-private-limited-hyderabad-secunderabad-ahmedabad-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-4-to-9-years-230621007989?src=jobsearchDesk&sid=16259968808395278&xp=4&px=18
324,SG Analytics Pvt. Ltd.,3.5,(114 Reviews),Senior Data Engineer - Product Technology,3-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune(Eon Free Zone ), Bangalore/Bengaluru","Tensorflow,Airflow,Pyspark,Data Engineering,Text Analytics,Python Developer,Machine Learning,Numpy",https://www.naukri.com/job-listings-senior-data-engineer-product-technology-sg-analytics-pvt-ltd-hyderabad-secunderabad-pune-bangalore-bengaluru-3-to-5-years-060421003801?src=jobsearchDesk&sid=16259968808395278&xp=5&px=18
325,Dell International Services India  Private Limited,4.0,(1770 Reviews),Business Intelligence Senior Analyst,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science,Business Intelligence,Hive,Sqoop,Artificial Intelligence,Hadoop,HDFS,Spark",https://www.naukri.com/job-listings-business-intelligence-senior-analyst-dell-international-services-india-private-limited-bangalore-bengaluru-2-to-5-years-030721901749?src=jobsearchDesk&sid=16259968808395278&xp=6&px=18
326,Edubridgeindia, , ,Software Developer / Web Developer/data analyst,0-1 Yrs,"50,000 - 70,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru","oral,written communication,Spotfire,Excel,Software Development,Software Engineering,Web Technologies,Data Analysis",https://www.naukri.com/job-listings-software-developer-web-developer-data-analyst-edubridgeindia-hyderabad-secunderabad-bangalore-bengaluru-0-to-1-years-070721000205?src=jobsearchDesk&sid=16259968808395278&xp=7&px=18
327,PROFITWHEEL DATA TECHNOLOGIES PRIVATE LIMITED, , ,Lead Data Scientist,2-4 Yrs,"15,00,000 - 25,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)","Predictive Modeling,Data Science,Statistical Modeling,Multivariate Analysis,Logistic Regression,SAS,Couchbase,Big Data",https://www.naukri.com/job-listings-lead-data-scientist-profitwheel-data-technologies-private-limited-hyderabad-secunderabad-bangalore-bengaluru-mumbai-all-areas-2-to-4-years-240521006055?src=jobsearchDesk&sid=16259968808395278&xp=8&px=18
328,Zycus Infotech Pvt Ltd,3.2,(173 Reviews),Data Scientist,1-6 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,Machine Learning,Cloud,Big Data,Data Science,R,Hive",https://www.naukri.com/job-listings-data-scientist-zycus-infotech-pvt-ltd-bangalore-bengaluru-1-to-6-years-050521901759?src=jobsearchDesk&sid=16259968808395278&xp=9&px=18
329,Mobiotics IT Solution Pvt Ltd,5.0,(9 Reviews),Data Scientist,2-5 Yrs,"5,00,000 - 10,00,000 PA.",Bangalore/Bengaluru(HSR Layout),"MongoDB,data analytics,NLP,Pytorch,Redshift,numpy,GCP,Bigtable",https://www.naukri.com/job-listings-data-scientist-mobiotics-it-solution-pvt-ltd-bangalore-bengaluru-2-to-5-years-011120000228?src=jobsearchDesk&sid=16259968808395278&xp=10&px=18
330,Tata Unistore,3.9,(14 Reviews),Tata UniStore Limited - Data Scientist,2-6 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru","Accessories,NoSQL,data science,Machine learning,Data collection,Electronics,E-commerce,Data mining",https://www.naukri.com/job-listings-tata-unistore-limited-data-scientist-tata-unistore-mumbai-bangalore-bengaluru-2-to-6-years-260521500494?src=jobsearchDesk&sid=16259968808395278&xp=11&px=18
331,"Center for Study of Science, Technology and Policy",4.5,(4 Reviews),Data Scientist-AI and Digital Lab,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,"Supply chain,Computer vision,advanced analytics,data science,GCP,Machine learning,Healthcare,SQL",https://www.naukri.com/job-listings-data-scientist-ai-and-digital-lab-center-for-study-of-science-technology-and-policy-bangalore-bengaluru-2-to-4-years-160621501759?src=jobsearchDesk&sid=16259968808395278&xp=12&px=18
332,Happymonk Technology Pvt. Ltd., , ,Junior Data Scientist,1-4 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Java,Python,Testing,Data Science,Machine Learning,Artificial Intelligence,SAS",https://www.naukri.com/job-listings-junior-data-scientist-happymonk-technology-pvt-ltd-bangalore-bengaluru-1-to-4-years-150621908363?src=jobsearchDesk&sid=16259968808395278&xp=13&px=18
333,Volterra, , ,Data Scientist - Cybersecurity,8-9 Yrs,Not disclosed,Bengaluru,"Computer science,Training,cyber security,data science,Data modeling,Machine learning,Deployment,Analytics",https://www.naukri.com/job-listings-data-scientist-cybersecurity-volterra-bengaluru-bangalore-8-to-9-years-090121500006?src=jobsearchDesk&sid=16259968808395278&xp=14&px=18
334,Ushur, , ,Principal Data Scientist,11-15 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Java,Python,Data Science,Machine Learning,Big Data,Automation,Mentor",https://www.naukri.com/job-listings-principal-data-scientist-ushur-bangalore-bengaluru-11-to-15-years-180621500413?src=jobsearchDesk&sid=16259968808395278&xp=15&px=18
335,Simplify360,3.9,(7 Reviews),Data Scientist,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,"Digital media,deep learning,Statistical analysis,data science,Machine learning,Programming,Data analytics,Customer experience",https://www.naukri.com/job-listings-data-scientist-simplify360-bangalore-bengaluru-1-to-3-years-310521500913?src=jobsearchDesk&sid=16259968808395278&xp=16&px=18
336,Pegasus Knowledge Solutions India Private Limited,3.8,(4 Reviews),Data Scientist,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,Data Science,Base SAS,Excel,Data modeling,SQL",https://www.naukri.com/job-listings-data-scientist-pegasus-knowledge-solutions-india-private-limited-bengaluru-bangalore-8-to-10-years-290121501231?src=jobsearchDesk&sid=16259968808395278&xp=17&px=18
337,AMPLIFY ANALYTIX INDIA PRIVATE LIMITED , , ,Data scientist,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Computer science,GIT,data science,Pharma,Machine learning,Packaging,FMCG,Analytics",https://www.naukri.com/job-listings-data-scientist-amplify-analytix-india-private-limited-bengaluru-bangalore-3-to-5-years-290121500751?src=jobsearchDesk&sid=16259968808395278&xp=18&px=18
338,Innominds Software Pvt Ltd,3.7,(97 Reviews),Data Scientist,2-7 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Tensorflow,Java,data science,scikit,Python,predictive modeling,Keras,visualization",https://www.naukri.com/job-listings-data-scientist-innominds-software-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-2-to-7-years-260521501408?src=jobsearchDesk&sid=16259968808395278&xp=19&px=18
339,Persistent Systems Limited.,4.0,(707 Reviews),Data Architect,8-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru","Spark SQL,Artifactory,Jupyter,EMR,Jenkins,CloudFormation,data security,Microservices framework",https://www.naukri.com/job-listings-data-architect-persistent-systems-limited-hyderabad-secunderabad-pune-bangalore-bengaluru-8-to-13-years-260521005325?src=jobsearchDesk&sid=16259968808395278&xp=20&px=18
340,Innominds Software Pvt Ltd,3.7,(97 Reviews),Data Scientist,2-7 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Tensorflow,Java,data science,scikit,Python,predictive modeling,Keras,visualization",https://www.naukri.com/job-listings-data-scientist-innominds-software-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-2-to-7-years-260521501408?src=jobsearchDesk&sid=16259969179606513&xp=1&px=19
341,Persistent Systems Limited.,4.0,(707 Reviews),Data Architect,8-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru","Spark SQL,Artifactory,Jupyter,EMR,Jenkins,CloudFormation,data security,Microservices framework",https://www.naukri.com/job-listings-data-architect-persistent-systems-limited-hyderabad-secunderabad-pune-bangalore-bengaluru-8-to-13-years-260521005325?src=jobsearchDesk&sid=16259969179606513&xp=2&px=19
342,Diverse Lynx,2.9,(46 Reviews),Data Scientist,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,Data Science",https://www.naukri.com/job-listings-data-scientist-diverse-lynx-bangalore-bengaluru-2-to-7-years-230320500560?src=jobsearchDesk&sid=16259969179606513&xp=3&px=19
343,ExecBoardinAsia, , ,"Principal Data Scientist, Experimentation",5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"data science,Manager Technology,Mentor,Principal,Testing",https://www.naukri.com/job-listings-principal-data-scientist-experimentation-execboardinasia-bangalore-bengaluru-5-to-10-years-220621500649?src=jobsearchDesk&sid=16259969179606513&xp=4&px=19
344,ITC Infotech India Ltd,3.3,(1022 Reviews),Supply Chain Data Scientist,5-9 Yrs,Not disclosed,Bengaluru,"IT Skills,Python,Software Development,Data Science,Machine Learning,Supply chain,Computer science,Business analysis",https://www.naukri.com/job-listings-supply-chain-data-scientist-itc-infotech-india-ltd-bengaluru-bangalore-5-to-9-years-220321501406?src=jobsearchDesk&sid=16259969179606513&xp=5&px=19
345,TALENT500 TECH (INDIA) PRIVATE LIMITED, , ,Data Scientist - Python | Lululemon,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science,Data Analytics,Machine Learning,Devops,Python",https://www.naukri.com/job-listings-data-scientist-python-lululemon-talent500-tech-india-private-limited-bangalore-bengaluru-5-to-8-years-190521001686?src=jobsearchDesk&sid=16259969179606513&xp=6&px=19
346,Ushur, , ,Principal Data Scientist,11-15 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Java,Python,Data Science,Machine Learning,Big Data,Automation,Mentor",https://www.naukri.com/job-listings-principal-data-scientist-ushur-bangalore-bengaluru-11-to-15-years-180621500413?src=jobsearchDesk&sid=16259969179606513&xp=7&px=19
347,Talent Zone Consultant, , ,Data Scientist,4-6 Yrs,Not disclosed,Bengaluru,"4 plus years of experience of working in the areas related to data science including machine learning and text mining,Expert in R and Python with firm understanding of statistical modelling techniques and should be adept at handling unstructured data",https://www.naukri.com/job-listings-data-scientist-talent-zone-consultant-bengaluru-bangalore-4-to-6-years-180417500781?src=jobsearchDesk&sid=16259969179606513&xp=8&px=19
348,Diverse Lynx,2.9,(46 Reviews),Data Scientist,1-5 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,deep learning,data science,Analytics",https://www.naukri.com/job-listings-data-scientist-diverse-lynx-bangalore-bengaluru-1-to-5-years-180320502465?src=jobsearchDesk&sid=16259969179606513&xp=9&px=19
349,Diverse Lynx,2.9,(46 Reviews),Data Scientist,2-8 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,Data Science,Machine Learning,AWS,Logistic regression,SAS,Data mining",https://www.naukri.com/job-listings-data-scientist-diverse-lynx-bangalore-bengaluru-2-to-8-years-180320501324?src=jobsearchDesk&sid=16259969179606513&xp=10&px=19
350,BlackBuck,3.8,(611 Reviews),Data Scientist,3-7 Yrs,Not disclosed,"Gurgaon, Bengaluru","deep learning,Operations research,Image processing,data science,Machine learning,Programming,Sensors,Route planning",https://www.naukri.com/job-listings-data-scientist-blackbuck-gurgaon-bengaluru-bangalore-3-to-7-years-170119500435?src=jobsearchDesk&sid=16259969179606513&xp=11&px=19
351,Quotient Four Technologies Pvt. Ltd.,4.4,(23 Reviews),Data Scientist,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Computer science,C++,SAS,Data management,data science,Analytical,Machine learning,Perl",https://www.naukri.com/job-listings-data-scientist-quotient-four-technologies-pvt-ltd-bangalore-bengaluru-3-to-7-years-160621501424?src=jobsearchDesk&sid=16259969179606513&xp=12&px=19
352,"Quotient, Inc.", , ,Data Scientist,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Computer science,SAS,Data management,data science,Analytical,Machine learning,Programming,Perl",https://www.naukri.com/job-listings-data-scientist-quotient-inc-bangalore-bengaluru-3-to-7-years-150621500992?src=jobsearchDesk&sid=16259969179606513&xp=13&px=19
353,COUTURE AI PRIVATE LIMITED , , ,Data Scientist,2-5 Yrs,"15,00,000 - 25,00,000 PA.",Bangalore/Bengaluru,"IT Skills,Python,Data Science,Machine Learning,Artificial Intelligence,Tensorflow,Rnn,Lstm",https://www.naukri.com/job-listings-data-scientist-couture-ai-private-limited-bangalore-bengaluru-2-to-5-years-130521003858?src=jobsearchDesk&sid=16259969179606513&xp=14&px=19
354,ELPIS IT SOLUTIONS PVT LTD,3.3,(6 Reviews),Data Scientist,3-8 Yrs,"6,00,000 - 16,00,000 PA.",Bangalore/Bengaluru,"TensorFlow,Scikit,SQL,RabbitMQ,NiFi,Kafka,Spark,Go",https://www.naukri.com/job-listings-data-scientist-elpis-it-solutions-pvt-ltd-bangalore-bengaluru-3-to-8-years-090621001504?src=jobsearchDesk&sid=16259969179606513&xp=15&px=19
355,Draup,5.0,(3 Reviews),Data Scientist,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,Data Science,AWS,deep learning,PDF,spark,Deployment",https://www.naukri.com/job-listings-data-scientist-draup-bengaluru-bangalore-6-to-11-years-090221500774?src=jobsearchDesk&sid=16259969179606513&xp=16&px=19
356,Catalyst,3.7,(11 Reviews),Data Scientist,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Data scientist,Data Science,Deep learning,data crunching,Predictive,Python / Spark,Data,data visualization",https://www.naukri.com/job-listings-data-scientist-catalyst-bangalore-bengaluru-3-to-7-years-080819911487?src=jobsearchDesk&sid=16259969179606513&xp=17&px=19
357,NeenOpal Intelligent Solutions Pvt. Ltd., , ,Data Scientist  Fresher,1-2 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,Data Science,Machine Learning,Supply chain,Coding,Neural networks,Analytical",https://www.naukri.com/job-listings-data-scientist-fresher-neenopal-intelligent-solutions-pvt-ltd-bangalore-bengaluru-1-to-2-years-070421501019?src=jobsearchDesk&sid=16259969179606513&xp=18&px=19
358,DataWeave Software Pvt Ltd,4.2,(7 Reviews),Data Scientist,2-5 Yrs,Not disclosed,Bengaluru,"Computer vision,deep learning,Backend,data science,Machine learning,Data processing,Natural language processing,Research",https://www.naukri.com/job-listings-data-scientist-dataweave-software-pvt-ltd-bengaluru-bangalore-2-to-5-years-040320500662?src=jobsearchDesk&sid=16259969179606513&xp=19&px=19
359,Catalyst,3.7,(11 Reviews),Data Scientist - Python/ SQL,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Java,Python,Data Science,Machine Learning,R,NLP,Algorithms",https://www.naukri.com/job-listings-data-scientist-python-sql-catalyst-bangalore-bengaluru-2-to-7-years-030918900823?src=jobsearchDesk&sid=16259969179606513&xp=20&px=19
360,ExecBoardinAsia, , ,Assistant Director - Data Science,9-10 Yrs,Not disclosed,Bengaluru,"Assistant Director,data science,Analytical,Machine learning,Research,Fact,Supervision",https://www.naukri.com/job-listings-assistant-director-data-science-execboardinasia-bengaluru-bangalore-9-to-10-years-051120500928?src=jobsearchDesk&sid=16259969718641869&xp=1&px=20
361,NewsHunt, , ,Data Science - Boot Camp,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"data science,Machine learning,Programming,Infrastructure,Deployment,Research,Distribution system,Monitoring",https://www.naukri.com/job-listings-data-science-boot-camp-newshunt-bangalore-bengaluru-2-to-5-years-210621500699?src=jobsearchDesk&sid=16259969718641869&xp=2&px=20
362,Nagarro Software Pvt. Ltd,4.0,(477 Reviews),Associate Staff Engineer ( Data Analytics),4-7 Yrs,Not disclosed,"Noida, Indore, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru","IT Skills,Java,Python,Data Science,R,Logistic Regression,SAS,SPSS",https://www.naukri.com/job-listings-associate-staff-engineer-data-analytics-nagarro-software-pvt-ltd-noida-indore-hyderabad-secunderabad-pune-gurgaon-gurugram-jaipur-bangalore-bengaluru-4-to-7-years-240621600711?src=jobsearchDesk&sid=16259969718641869&xp=3&px=20
363,Headhunter , , ,Platform Engineer / Cloudera Hadoop Administrator - Big Data,5-9 Yrs,"14,00,000 - 24,00,000 PA.","Pune, Bangalore/Bengaluru","Cloudera,Hadoop,Python,IT Skills,Java,Testing,Cloud,Big Data",https://www.naukri.com/job-listings-platform-engineer-cloudera-hadoop-administrator-big-data-headhunter-pune-bangalore-bengaluru-5-to-9-years-220621001354?src=jobsearchDesk&sid=16259969718641869&xp=4&px=20
364,Sugarbox Networks, , ,Data Engineer - Big Data/Hadoop,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Data Science,Big Data,Spark Streaming,MySQL,data science models,Sqoop,Hive",https://www.naukri.com/job-listings-data-engineer-big-data-hadoop-sugarbox-networks-bangalore-bengaluru-2-to-6-years-020621901618?src=jobsearchDesk&sid=16259969718641869&xp=5&px=20
365,COLLABERA,3.7,(520 Reviews),Job Opportunity For Data Ingestion & Integration Engineer,8-13 Yrs,Not disclosed,Bangalore/Bengaluru,"Kubernetes,Python,agile,MongoDB,NoSQL,microservices,Devops,data science",https://www.naukri.com/job-listings-opportunity-for-data-ingestion-integration-engineer-collabera-technologies-private-limited-bangalore-bengaluru-8-to-13-years-180621002015?src=jobsearchDesk&sid=16259969718641869&xp=6&px=20
366,Dell International Services India  Private Limited,4.0,(1770 Reviews),Demand Center Analytics Sr Advisor,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Software Development,Data Science,Sales,B2C,Use Cases,Artificial Intelligence,Data Analysis",https://www.naukri.com/job-listings-demand-center-analytics-sr-advisor-dell-international-services-india-private-limited-bangalore-bengaluru-6-to-11-years-020721908157?src=jobsearchDesk&sid=16259969718641869&xp=7&px=20
367,Nikos Consulting, , ,Manager/Senior Manager - Data Governance - Consulting Firm,8-13 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru","Data Science,Data Management,Data Visualization,Data Warehousing,Data Analytics,Data Governance,Analytics,SQL",https://www.naukri.com/job-listings-manager-senior-manager-data-governance-consulting-firm-nikos-consulting-mumbai-gurgaon-gurugram-bangalore-bengaluru-8-to-13-years-270221900333?src=jobsearchDesk&sid=16259969718641869&xp=8&px=20
368,Flipkart Internet Private Limited,4.2,(3378 Reviews),Senior Data Analyst,4-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Oracle SQL,Django,Big Data,Data Analysis,Data Analyst,Python",https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-4-to-5-years-290621906696?src=jobsearchDesk&sid=16259969718641869&xp=9&px=20
369,Cognizant Technology Solutions India Pvt Ltd,3.8,(16465 Reviews),Senior Security Specialist - CS Awareness & Data Analyst,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,"BRDs,data processing auditing experience,ISO 27001 NIST PCI,ISO27001 LA LI,FSDs",https://www.naukri.com/job-listings-senior-security-specialist-cs-awareness-data-analyst-cognizant-technology-solutions-india-pvt-ltd-bangalore-bengaluru-4-to-7-years-030721003337?src=jobsearchDesk&sid=16259969718641869&xp=10&px=20
370,Shreshi Management Services Pvt. Ltd. , , ,Data Scientist,3-7 Yrs,"10,00,000 - 12,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru","verbal communication,Matlab,Perl,written,R,machine learning,Python,data science",https://www.naukri.com/job-listings-data-scientist-shreshi-management-services-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-3-to-7-years-180621004864?src=jobsearchDesk&sid=16259969718641869&xp=11&px=20
371,Societe Generale,3.8,(721 Reviews),Looking For Data Quality - Python experts,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Spotfire,Data Science,Visualization,Tableau,Python",https://www.naukri.com/job-listings-looking-for-data-quality-python-experts-societe-generale-global-solution-centre-pvt-ltd-bangalore-bengaluru-4-to-8-years-170521005904?src=jobsearchDesk&sid=16259969718641869&xp=12&px=20
372,Gervitech Technologies , , ,Market Data Analyst,0-5 Yrs,"3,25,000 - 6,00,000 PA.","Madurai, Kolkata, Hyderabad/Secunderabad, Ahmedabad, Chennai, Bangalore/Bengaluru","Business Analytics,Market Data,Data Quality,market equity research,Report Preparation,Data Analysis,Market Data Analyst,Customer service",https://www.naukri.com/job-listings-market-data-analyst-gervitech-technologies-madurai-kolkata-hyderabad-secunderabad-ahmedabad-chennai-bangalore-bengaluru-0-to-5-years-100721004169?src=jobsearchDesk&sid=16259969718641869&xp=13&px=20
373,IBM India Pvt. Limited,4.0,(9963 Reviews),Data analysts,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"risk compliance,Data center operations,Information security,Cloud,IT risk management,Data Analyst,Application development,Data analytics",https://www.naukri.com/job-listings-data-analysts-ibm-india-pvt-limited-bangalore-bengaluru-5-to-10-years-090721905779?src=jobsearchDesk&sid=16259969718641869&xp=14&px=20
374,Flipkart Internet Private Limited,4.2,(3378 Reviews),Data Analyst,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"R,Excel,Data Analysis,SQL,Python",https://www.naukri.com/job-listings-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-3-to-5-years-090721901093?src=jobsearchDesk&sid=16259969718641869&xp=15&px=20
375,Uber,3.9,(371 Reviews),Data Analyst,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,"Computer science,Logistic regression,analytics reporting,Operations research,SAS,Data collection,Perl,Operations",https://www.naukri.com/job-listings-data-analyst-uber-bangalore-bengaluru-1-to-3-years-090721501706?src=jobsearchDesk&sid=16259969718641869&xp=16&px=20
