,Company,Rating,Review Count,Position,Experience,Salary,Location,Skills,Link
261,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Machine Learning Application Developer,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,"presentation communication,Python Programming,REST services,ML,Deep learning,Machine Learning,analytical,Django",https://www.naukri.com/job-listings-machine-learning-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-010721906490?src=jobsearchDesk&sid=16259967805168838&xp=2&px=15
262,Talent  Corner HR Services Pvt Ltd, , ,Senior Data Scientist,5-10 Yrs,"22,50,000 - 32,50,000 PA.",Bangalore/Bengaluru,"Machine Learning,SQL,Python,predictive analytics,Tableau,Tensorflow,Spark,D3 js",https://www.naukri.com/job-listings-senior-data-scientist-talent-corner-hr-services-pvt-ltd-bangalore-bengaluru-5-to-10-years-260521001054?src=jobsearchDesk&sid=16259967805168838&xp=3&px=15
263,Farfetch, , ,Farfetch - Senior Data Scientist,5-9 Yrs,Not disclosed,New Delhi,"Computer science,Data analysis,Operations research,data science,GCP,Machine learning,Hypothesis Testing,Technical support",https://www.naukri.com/job-listings-farfetch-senior-data-scientist-farfetch-new-delhi-5-to-9-years-250621501048?src=jobsearchDesk&sid=16259967805168838&xp=4&px=15
264,Sunshine Teahouse Pvt. Ltd.,3.9,(163 Reviews),Senior Manager- Data Scientist,6-8 Yrs,Not disclosed,Delhi / NCR,"Data Science,Analytics,Data Scientist",https://www.naukri.com/job-listings-senior-manager-data-scientist-sunshine-teahouse-pvt-ltd-delhi-ncr-6-to-8-years-050721004831?src=jobsearchDesk&sid=16259967805168838&xp=5&px=15
265,Nagarro Software Pvt. Ltd,4.0,(477 Reviews),Opening For Data Analytics Role with R/Python,5-9 Yrs,Not disclosed,Anywhere in India,"Sales Analytics,SPSS,Python,Operational Analytics,Excel,Business Analysis,Customer Analytics,R",https://www.naukri.com/job-listings-opening-for-data-analytics-role-with-r-python-nagarro-software-pvt-ltd-anywhere-in-india-5-to-9-years-020721007965?src=jobsearchDesk&sid=16259967805168838&xp=6&px=15
266,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Machine Learning Application Designer,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Machine Learning,waterfall,Nodejs,communication,written,analytical,presentation,Unit Testing",https://www.naukri.com/job-listings-machine-learning-application-designer-accenture-solutions-pvt-ltd-bangalore-bengaluru-6-to-8-years-280621905903?src=jobsearchDesk&sid=16259967805168838&xp=7&px=15
267,AdvaRisk, , ,Chief Data Scientist,5-10 Yrs,Not disclosed,Pune,"IT Skills,Python,Data Science,Machine Learning,Artificial Intelligence,Project Management,Big Data,Object Detection",https://www.naukri.com/job-listings-chief-data-scientist-advarisk-pune-5-to-10-years-240521901679?src=jobsearchDesk&sid=16259967805168838&xp=8&px=15
268,MarketScope, , ,Senior Data Scientist - Machine Learning,5-8 Yrs,Not disclosed,Delhi / NCR,"Unix scripting,Java,Scala,Linux,R,machine learning,Python,IT Skills",https://www.naukri.com/job-listings-senior-data-scientist-machine-learning-marketscope-delhi-ncr-5-to-8-years-200421909957?src=jobsearchDesk&sid=16259967805168838&xp=9&px=15
269,UpGrad,2.5,(115 Reviews),Senior Data Analyst,4-9 Yrs,"4,00,000 - 8,00,000 PA.",Mumbai (All Areas),"Data Analysis,Python,SQL,Data Science,Sales,Corporate Training,Tableau,Dashboards",https://www.naukri.com/job-listings-senior-data-analyst-upgrad-education-pvt-ltd-mumbai-all-areas-4-to-9-years-140621007137?src=jobsearchDesk&sid=16259967805168838&xp=10&px=15
270,Synergistic Compusoft Private Limited, , ,Full time_Data science trainer_Work from Home,4-9 Yrs,Not disclosed,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","python,Tableau,machine learning,IT Skills,Data Science,Java,R,NLP",https://www.naukri.com/job-listings-full-time-data-science-trainer-work-from-home-synergistic-compusoft-private-limited-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-4-to-9-years-250621001514?src=jobsearchDesk&sid=16259967805168838&xp=11&px=15
271,Huquo Consulting Pvt. Ltd, , ,Assistant Vice President - Data Scientist,6-11 Yrs,Not disclosed,India,"Data Science,Predictive Modeling,Business Intelligence,Data Scientist,Data Management,Data Visualization,Data Mining,Tableau",https://www.naukri.com/job-listings-assistant-vice-president-data-scientist-huquo-consulting-pvt-ltd-india-6-to-11-years-180321910062?src=jobsearchDesk&sid=16259967805168838&xp=12&px=15
272,3S SOLUTION , , ,Product Manager,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science,Hadoop,Big Data,Spark,Data Warehousing,Data Analytics,Impala,Machine Learning",https://www.naukri.com/job-listings-product-manager-3s-solution-bangalore-bengaluru-3-to-7-years-200621000588?src=jobsearchDesk&sid=16259967805168838&xp=13&px=15
