,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry,Functional Area,Role Category,Employment Type,Industry Type,UG ,PG ,Doctorate 
125,BRIDGEi2i Analytics Solutions Private Limited,3.5,(43 Reviews),SCM - DATA SCIENCE,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,"Procurement,Supply chain management,data science,Simulation,Analytical,Machine learning,Network planning,SCM",https://www.naukri.com/job-listings-scm-data-science-bridgei2i-analytics-solutions-private-limited-bangalore-bengaluru-2-to-4-years-200521500791?src=jobsearchDesk&sid=16260984689145342&xp=6&px=8,"Team Lead/Technical Lead,",,"IT Software - Other,",Programming & Design,"Full Time, Permanent","Analytics / KPO / Research,",Any Graduate,Post Graduation Not Required,
126,Burgeon IT Services Pvt ltd,4.1,(8 Reviews),Data Science Consultant,5-8 Yrs,Not disclosed,Bengaluru,"Machine Learning,Azure Cognitive Services,Power Automate,Python,Data Science,IT Skills,Azure,IT services",https://www.naukri.com/job-listings-data-science-consultant-burgeon-it-services-pvt-ltd-bengaluru-bangalore-5-to-8-years-180221500999?src=jobsearchDesk&sid=16260984689145342&xp=7&px=8,"Software Developer,",,"IT Software - ERP, CRM,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,Post Graduation Not Required,
127,Optidesk Solutions Private Limited, , ,MSSQL Data Science & R Analytics Programmer,2-6 Yrs,Not disclosed,Bengaluru,"SAP,SSRS,Machine learning,JSON,Windows,Stored procedures,Oracle,SSIS",https://www.naukri.com/job-listings-mssql-data-science-r-analytics-programmer-optidesk-solutions-private-limited-bengaluru-bangalore-2-to-6-years-171219500709?src=jobsearchDesk&sid=16260984689145342&xp=8&px=8,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Management Consulting,",B.Tech/B.E. in Computers,M.Tech in Computers,
128,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Team Lead/Consultant-Data Science,7-11 Yrs, Not Disclosed by Recruiter ,Bangalore/Bengaluru,"Publishing,data science,Architecture,management,Business Economics,Machine learning,Consulting,Management",https://www.naukri.com/job-listings-team-lead-consultant-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-7-to-11-years-170621907638?src=jobsearchDesk&sid=16260984689145342&xp=9&px=8,Senior Outside Consultant,IT Services & Consulting,"Strategy, Management Consulting, Corporate Planning",Corporate Planning/Consulting/Strategy,"Full Time, Permanent",,,,
129,Mindtree Limited,4.0,(1722 Reviews),Data Science -- Technical Architect,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Java,Python,Data Science,Cloud,Big Data,AWS,Cloud computing",https://www.naukri.com/job-listings-data-science-technical-architect-mindtree-limited-bangalore-bengaluru-5-to-9-years-160621500878?src=jobsearchDesk&sid=16260984689145342&xp=10&px=8,"Technical Architect,",,"IT Software - Other,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,Any Postgraduate,
130,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Team Lead/Consultant-Data Science,7-11 Yrs, Not Disclosed by Recruiter ,Bangalore/Bengaluru,"IT Skills,Python,Data Science,Artificial Intelligence,Business administration,Publishing,Architecture,Consulting",https://www.naukri.com/job-listings-team-lead-consultant-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-7-to-11-years-120621900884?src=jobsearchDesk&sid=16260984689145342&xp=11&px=8,Senior Outside Consultant,IT Services & Consulting,"Strategy, Management Consulting, Corporate Planning",Corporate Planning/Consulting/Strategy,"Full Time, Permanent",,,,
131,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Team Lead/Consultant-Data Science,7-11 Yrs, Not Disclosed by Recruiter ,Bangalore/Bengaluru,"Publishing,data science,Data management,Architecture,Artificial Intelligence,Business Economics,Machine learning,Consulting",https://www.naukri.com/job-listings-team-lead-consultant-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-7-to-11-years-120621900512?src=jobsearchDesk&sid=16260984689145342&xp=12&px=8,Team Lead/Technical Lead,IT Services & Consulting,"IT Software - Application Programming, Maintenance",Programming & Design,"Full Time, Permanent",,,,
132,D Cube Analytics,2.5,(5 Reviews),Principal Consultant - Data Science,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Computer science,deep learning,C++,data science,Neural networks,Analytical,Machine learning,Data analytics",https://www.naukri.com/job-listings-principal-consultant-data-science-d-cube-analytics-bangalore-bengaluru-5-to-10-years-100521500930?src=jobsearchDesk&sid=16260984689145342&xp=13&px=8,"Project Manager-IT/Software,",,"IT Software - Application Programming, Maintenance,",Project Management,"Full Time, Permanent","Pharmaceutical & Life Sciences,",Any Graduate,Post Graduation Not Required,
133,ANI Technologies Pvt Ltd (Olacabs),4.0,(1216 Reviews),Data Sciences Lead,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Product management,Computer science,Consulting,Machine learning,Data quality,Investment banking,Data mining,Forecasting",https://www.naukri.com/job-listings-data-sciences-lead-ani-technologies-pvt-ltd-olacabs-bangalore-bengaluru-3-to-7-years-080621500077?src=jobsearchDesk&sid=16260984689145342&xp=14&px=8,"Product Manager,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Internet,",B.Tech/B.E. in Computers,Post Graduation Not Required,
134,D Cube Analytics,2.5,(5 Reviews),Data Science Lead,10-12 Yrs,Not disclosed,Bangalore/Bengaluru,"Computer science,deep learning,C++,data science,Neural networks,Analytical,Machine learning,Data analytics",https://www.naukri.com/job-listings-data-science-lead-d-cube-analytics-bangalore-bengaluru-10-to-12-years-070420500605?src=jobsearchDesk&sid=16260984689145342&xp=15&px=8,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Pharmaceutical & Life Sciences,",Any Graduate,Post Graduation Not Required,
135,KPRO Solutions, , ,Analytics & Data Science,9-14 Yrs,Not disclosed,Bengaluru,"Publishing,Web technologies,SAS,data science,SPSS,Web content,Analytics,SQL",https://www.naukri.com/job-listings-analytics-data-science-kpro-solutions-bengaluru-bangalore-9-to-14-years-051219501763?src=jobsearchDesk&sid=16260984689145342&xp=16&px=8,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,Any Postgraduate,
136,Spectral Consultants,5.0,(2 Reviews),Asst.Director -Data Science,6-11 Yrs,Not disclosed,"Noida, Gurgaon/Gurugram, Bangalore/Bengaluru","software architecture,Assistant Director,data science,Data modeling,Machine learning,Software development life cycle,Data structures,Troubleshooting",https://www.naukri.com/job-listings-asst-director-data-science-spectral-consultants-bengaluru-bangalore-gurgaon-noida-6-to-11-years-040221501676?src=jobsearchDesk&sid=16260984689145342&xp=17&px=8,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Management Consulting,",Any Graduate,Post Graduation Not Required,
137,Gojek Tech, , ,Head of Data Science,8-12 Yrs,Not disclosed,Bengaluru,"Computer science,data science,Strategic partnerships,Analytical,Formulation,Machine learning,Business case,Logistics",https://www.naukri.com/job-listings-head-of-data-science-gojek-tech-bengaluru-bangalore-8-to-12-years-031219500664?src=jobsearchDesk&sid=16260984689145342&xp=18&px=8,"Program Manager,",,"IT Software - Application Programming, Maintenance,",Senior Management,"Full Time, Permanent","Internet,",Any Graduate,Post Graduation Not Required,
138,Talpro, , ,Data Sciences Engineer - Big Data,2-5 Yrs,Not disclosed,"Bangalore/Bengaluru, Delhi / NCR","IT Skills,Big Data,Data Sciences Engineer,Data Management",https://www.naukri.com/job-listings-data-sciences-engineer-big-data-talpro-bangalore-bengaluru-delhi-ncr-2-to-5-years-010721903713?src=jobsearchDesk&sid=16260984689145342&xp=19&px=8,"Analytics Manager,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","IT Services & Consulting,",B.Sc in Any Specialization,M.Tech in Any Specialization,Doctorate Not Required
139,Catalyst, , ,Data Science Product Manager - Artificial Intelligence,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,Data Science,Machine Learning,Artificial Intelligence,Big Data,Tensorflow,R",https://www.naukri.com/job-listings-data-science-product-manager-artificial-intelligence-catalyst-bangalore-bengaluru-4-to-9-years-141020903442?src=jobsearchDesk&sid=16260984689145342&xp=20&px=8,"Product Manager,",,"IT Software - DBA, Datawarehousing,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,","B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Computers",Any Postgraduate,Doctorate Not Required
140,D Cube Analytics,2.5,(5 Reviews),Data Science Lead,10-12 Yrs,Not disclosed,Bangalore/Bengaluru,"Computer science,deep learning,C++,data science,Neural networks,Analytical,Machine learning,Data analytics",https://www.naukri.com/job-listings-data-science-lead-d-cube-analytics-bangalore-bengaluru-10-to-12-years-070420500605?src=jobsearchDesk&sid=16260988692237948&xp=1&px=9,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Pharmaceutical & Life Sciences,",Any Graduate,Post Graduation Not Required,
141,KPRO Solutions, , ,Analytics & Data Science,9-14 Yrs,Not disclosed,Bengaluru,"Publishing,Web technologies,SAS,data science,SPSS,Web content,Analytics,SQL",https://www.naukri.com/job-listings-analytics-data-science-kpro-solutions-bengaluru-bangalore-9-to-14-years-051219501763?src=jobsearchDesk&sid=16260988692237948&xp=2&px=9,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,Any Postgraduate,
142,Spectral Consultants,5.0,(2 Reviews),Asst.Director -Data Science,6-11 Yrs,Not disclosed,"Noida, Gurgaon/Gurugram, Bangalore/Bengaluru","software architecture,Assistant Director,data science,Data modeling,Machine learning,Software development life cycle,Data structures,Troubleshooting",https://www.naukri.com/job-listings-asst-director-data-science-spectral-consultants-bengaluru-bangalore-gurgaon-noida-6-to-11-years-040221501676?src=jobsearchDesk&sid=16260988692237948&xp=3&px=9,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Management Consulting,",Any Graduate,Post Graduation Not Required,
