,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry,Functional Area,Role Category,Employment Type,Industry Type,UG ,PG ,Doctorate 
10,Gladwin Analytics,4.0,(2 Reviews),Country Manager - Data Science,8-13 Yrs,Not disclosed,"Mumbai, Bengaluru","Product launch,Computer science,SAP,data science,Diagnostics,Coding,Analytical,Machine learning",https://www.naukri.com/job-listings-country-manager-data-science-gladwin-analytics-mumbai-bengaluru-bangalore-8-to-13-years-221118500074?src=jobsearchDesk&sid=16261489420928617&xp=11&px=2,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Recruitment / Staffing,",B.A in Statistics,M.A in Statistics,
11,Data is Good, , ,Data Science Coach/Mentor/Instructor,3-8 Yrs,Not disclosed,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Data Science,Business Intelligence,Natural Language Processing,Tableau,Spark,Data Analytics,Machine Learning,AWS",https://www.naukri.com/job-listings-data-science-coach-mentor-instructor-data-is-good-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-3-to-8-years-160621002677?src=jobsearchDesk&sid=16261489420928617&xp=12&px=2,"Trainer,",,"Teaching, Education, Training, Counselling,",Teachers,"Part Time, Permanent","Education / Training,",Any Graduate,,
12,Gladwin Analytics,4.0,(2 Reviews),Assistant Manager - Data Science,4-9 Yrs,Not disclosed,"Mumbai, Bengaluru","Logistic regression,Statistical analysis,data science,SAS,Analytical,Machine learning,FMCG,Business intelligence",https://www.naukri.com/job-listings-assistant-manager-data-science-gladwin-analytics-mumbai-bengaluru-bangalore-4-to-9-years-221118500069?src=jobsearchDesk&sid=16261489420928617&xp=13&px=2,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Recruitment / Staffing,",B.A in Statistics,M.A in Statistics,
13,TransUnion Software Services Pvt. Ltd,4.6,(33 Reviews),Senior Manager - Data Science and Analytics (Modeling),6-9 Yrs,Not disclosed,Mumbai,"SQL,Spark,Hive,Tableau,R,Python,IT Skills,Team leading",https://www.naukri.com/job-listings-senior-manager-data-science-and-analytics-modeling-transunion-software-services-pvt-ltd-mumbai-6-to-9-years-260421501025?src=jobsearchDesk&sid=16261489420928617&xp=14&px=2,"Business Analyst,",,"IT Software - Application Programming, Maintenance,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","IT Services & Consulting,","B.B.A/ B.M.S in Management, Any Graduate, B.Tech/B.E. in Any Specialization",Any Postgraduate,
14,Gladwin Analytics,4.0,(2 Reviews),Senior Manager - Data Science - Sales & Marketing Analytics,10-15 Yrs,Not disclosed,Mumbai,"Computer science,Operations research,Sales,data science,Coding,Analytical,Machine learning,Agile",https://www.naukri.com/job-listings-senior-manager-data-science-sales-marketing-analytics-gladwin-analytics-mumbai-10-to-15-years-221118500075?src=jobsearchDesk&sid=16261489420928617&xp=15&px=2,"Outside Consultant,",,"ITES, BPO, KPO, LPO, Customer Service, Operations,",Other,"Full Time, Permanent","Recruitment / Staffing,",B.A in Statistics,M.A in Statistics,
15,Gladwin Analytics,4.0,(2 Reviews),Senior Manager - Data Science,5-10 Yrs,Not disclosed,Mumbai,"Computer science,Electrical engineering,Analytical skills,Statistical modeling,data science,Time series analysis,Machine learning,Analytics Executive",https://www.naukri.com/job-listings-senior-manager-data-science-gladwin-analytics-mumbai-5-to-10-years-221118500073?src=jobsearchDesk&sid=16261489420928617&xp=16&px=2,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Recruitment / Staffing,",B.A in Statistics,M.A in Statistics,
16,Jardine Lloyd Thompson India Pvt Ltd.,4.0,(263 Reviews),"Senior Specialist - Data Science, Marsh Advisory, International",5-8 Yrs,Not disclosed,Mumbai,"Computer science,Claims,data science,Actuarial,Data mining,Risk management,Advisory,Analytics",https://www.naukri.com/job-listings-senior-specialist-data-science-marsh-advisory-international-jardine-lloyd-thompson-india-pvt-ltd-mumbai-5-to-8-years-140621501718?src=jobsearchDesk&sid=16261489420928617&xp=17&px=2,"Outside Consultant,",,"IT Software - Application Programming, Maintenance,",Other,"Full Time, Permanent","Insurance,",B.Tech/B.E. in Computers,M.Tech in Computers,
17,TransUnion Software Services Pvt. Ltd,4.6,(33 Reviews),Sr. Manager - Data Science and Analytics (Modeling),8-11 Yrs,Not disclosed,Mumbai,"Tableau,R,SQL,Python,Hive,Spark,team management,data science",https://www.naukri.com/job-listings-sr-manager-data-science-and-analytics-modeling-transunion-software-services-pvt-ltd-mumbai-8-to-11-years-030521501297?src=jobsearchDesk&sid=16261489420928617&xp=18&px=2,"Business Analyst,",,"IT Software - Application Programming, Maintenance,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,Post Graduation Not Required,
18,Reliance Jio Infocomm Ltd.,4.0,(10076 Reviews),Manager Data Science,5-8 Yrs,Not disclosed,Mumbai,"Report generation,Data management,Machine learning,Data structures,Business modeling,Mobile applications,Data warehousing,Predictive analytics",https://www.naukri.com/job-listings-manager-data-science-reliance-jio-infocomm-ltd-mumbai-5-to-8-years-190321500871?src=jobsearchDesk&sid=16261489420928617&xp=19&px=2,"Business Analyst,",,"IT Software - Application Programming, Maintenance,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","Telecom / ISP,",Any Graduate,Post Graduation Not Required,
19,Reliance Jio Infocomm Ltd.,4.0,(10076 Reviews),Lead Data Science,14-15 Yrs,Not disclosed,Mumbai,"Report generation,Data management,Machine learning,Data structures,Business modeling,Mobile applications,Data warehousing,Predictive analytics",https://www.naukri.com/job-listings-lead-data-science-reliance-jio-infocomm-ltd-mumbai-14-to-15-years-170621501619?src=jobsearchDesk&sid=16261489420928617&xp=20&px=2,"Business Analyst,",,"IT Software - Application Programming, Maintenance,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","Telecom / ISP,",B.Tech/B.E. in Production/Industrial,Post Graduation Not Required,
20,TransUnion Software Services Pvt. Ltd,4.6,(33 Reviews),Sr. Manager - Data Science and Analytics (Modeling),8-11 Yrs,Not disclosed,Mumbai,"Tableau,R,SQL,Python,Hive,Spark,team management,data science",https://www.naukri.com/job-listings-sr-manager-data-science-and-analytics-modeling-transunion-software-services-pvt-ltd-mumbai-8-to-11-years-030521501297?src=jobsearchDesk&sid=16261492639403812&xp=1&px=3,"Business Analyst,",,"IT Software - Application Programming, Maintenance,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,Post Graduation Not Required,
21,Reliance Jio Infocomm Ltd.,4.0,(10076 Reviews),Manager Data Science,5-8 Yrs,Not disclosed,Mumbai,"Report generation,Data management,Machine learning,Data structures,Business modeling,Mobile applications,Data warehousing,Predictive analytics",https://www.naukri.com/job-listings-manager-data-science-reliance-jio-infocomm-ltd-mumbai-5-to-8-years-190321500871?src=jobsearchDesk&sid=16261492639403812&xp=2&px=3,"Business Analyst,",,"IT Software - Application Programming, Maintenance,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","Telecom / ISP,",Any Graduate,Post Graduation Not Required,
22,Reliance Jio Infocomm Ltd.,4.0,(10076 Reviews),Lead Data Science,14-15 Yrs,Not disclosed,Mumbai,"Report generation,Data management,Machine learning,Data structures,Business modeling,Mobile applications,Data warehousing,Predictive analytics",https://www.naukri.com/job-listings-lead-data-science-reliance-jio-infocomm-ltd-mumbai-14-to-15-years-170621501619?src=jobsearchDesk&sid=16261492639403812&xp=3&px=3,"Business Analyst,",,"IT Software - Application Programming, Maintenance,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","Telecom / ISP,",B.Tech/B.E. in Production/Industrial,Post Graduation Not Required,
23,GEP,3.8,(230 Reviews),Data Engineer - Data Sciences,2-5 Yrs,Not disclosed,Mumbai,"IT Skills,Project Management,BPO,project management,Procurement,Computer science,metadata,NoSQL",https://www.naukri.com/job-listings-data-engineer-data-sciences-gep-mumbai-2-to-5-years-280121502075?src=jobsearchDesk&sid=16261492639403812&xp=4&px=3,"Database Architect/Designer,",,"IT Software - DBA, Datawarehousing,",Programming & Design,"Full Time, Permanent","BPO / Call Centre,",B.Tech/B.E. in Production/Industrial,Post Graduation Not Required,
24,Markytics,4.2,(2 Reviews),Data Science & ML Engineer,1-4 Yrs,Not disclosed,Mumbai,"data science,Django,Machine learning,FMCG,Internship,AWS,SQL,Python",https://www.naukri.com/job-listings-data-science-ml-engineer-markytics-mumbai-1-to-4-years-240221500769?src=jobsearchDesk&sid=16261492639403812&xp=5&px=3,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Management Consulting,",Any Graduate,Post Graduation Not Required,
25,Mystro, , ,Data Science Engineer,2-4 Yrs,Not disclosed,Mumbai,"deep learning,data science,Machine learning,Manager Technology,Data processing,Python",https://www.naukri.com/job-listings-data-science-engineer-mystro-mumbai-2-to-4-years-200919500821?src=jobsearchDesk&sid=16261492639403812&xp=6&px=3,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Banking,",Any Graduate,Any Postgraduate,
26,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Team Lead/Consultant-Data Science,7-11 Yrs, Not Disclosed by Recruiter ,Mumbai,"Business administration,Publishing,Architecture,data science,Consulting,Machine learning,Predictive modeling,Data mining",https://www.naukri.com/job-listings-team-lead-consultant-data-science-accenture-solutions-pvt-ltd-mumbai-7-to-11-years-230621906090?src=jobsearchDesk&sid=16261492639403812&xp=7&px=3,Team Lead/Technical Lead,IT Services & Consulting,"IT Software - Application Programming, Maintenance",Programming & Design,"Full Time, Permanent",,,,
27,Citius IT Solutions Pvt Ltd,2.7,(5 Reviews),Asst. Manager - Data Science,5-10 Yrs,Not disclosed,Mumbai,"Assistant Manager,data science,Simulation,SAS,Project management,Analytical,Machine learning,Data mining",https://www.naukri.com/job-listings-asst-manager-data-science-citius-it-solutions-pvt-ltd-mumbai-5-to-10-years-190621500480?src=jobsearchDesk&sid=16261492639403812&xp=8&px=3,"Outside Technical Consultant,",,"IT Software - Application Programming, Maintenance,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,Any Postgraduate,
28,Phenom Placement Consultancy,5.0,(6 Reviews),Manager/ SM - Data Science,8-13 Yrs,Not disclosed,Mumbai,"BPO,Unix,Mining,C++,SAS,Linux,Machine learning,Analytics",https://www.naukri.com/job-listings-manager-sm-data-science-phenom-placement-consultancy-mumbai-8-to-13-years-180919500992?src=jobsearchDesk&sid=16261492639403812&xp=9&px=3,"Assistant Manager/Manager-(NonTechnical),",,"ITES, BPO, KPO, LPO, Customer Service, Operations,",Back Office/Web/Transaction Processing,"Full Time, Permanent","Recruitment / Staffing,",Any Graduate,Any Postgraduate,
29,Red Lotus, , ,Chief Data Science officer ,15-18 Yrs,Not disclosed,Mumbai,"Computer science,data science,Master data management,Business analytics,Analytical,Project management,Machine learning,data governance",https://www.naukri.com/job-listings-chief-data-science-officer-red-lotus-mumbai-15-to-18-years-280820500258?src=jobsearchDesk&sid=16261492639403812&xp=10&px=3,"Associate/Senior Associate -(NonTechnical),",,"ITES, BPO, KPO, LPO, Customer Service, Operations,",Voice,"Full Time, Permanent","Advertising & Marketing,",Any Graduate,Post Graduation Not Required,
30,RedLotus, , ,Chief Data Science officer,15-18 Yrs,Not disclosed,Mumbai,"Computer science,French,data science,Master data management,Business analytics,Analytical,Project management,Machine learning",https://www.naukri.com/job-listings-chief-data-science-officer-redlotus-mumbai-15-to-18-years-251119501134?src=jobsearchDesk&sid=16261492639403812&xp=11&px=3,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,",B.Tech/B.E. in Computers,M.Tech in Computers,
31,TransUnion Software Services Pvt. Ltd,4.6,(33 Reviews),AVP - Data Science and Analytics - Modeling,9-13 Yrs,Not disclosed,Mumbai,"Spark,Hive,Tableau,SQL,R,Python,data science,Coding",https://www.naukri.com/job-listings-avp-data-science-and-analytics-modeling-transunion-software-services-pvt-ltd-mumbai-9-to-13-years-220621500146?src=jobsearchDesk&sid=16261492639403812&xp=12&px=3,"DBA,",,"IT Software - eCommerce, Internet Technologies,",Admin/Maintenance/Security/Datawarehousing,"Full Time, Permanent","IT Services & Consulting,","B.B.A/ B.M.S in Management, Any Graduate, B.Tech/B.E. in Production/Industrial",Any Postgraduate,
32,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),India Market Unit - Data Science - 11,2-4 Yrs, Not Disclosed by Recruiter ,Mumbai,"Python,IT Skills,Analyst,data science,Networking,Consulting,Manager Technology,Business modeling",https://www.naukri.com/job-listings-india-market-unit-data-science-11-accenture-solutions-pvt-ltd-mumbai-2-to-4-years-170521904497?src=jobsearchDesk&sid=16261492639403812&xp=13&px=3,Technical Support Engineer,IT Services & Consulting,"IT Software - DBA, Datawarehousing",Admin/Maintenance/Security/Datawarehousing,"Full Time, Permanent",,,,
33,TransUnion Software Services Pvt. Ltd,4.6,(33 Reviews),"AVP, Data Science & Analytics - Modeling (Fraud Solutions)",1-6 Yrs,Not disclosed,Mumbai,"data science,Coding,Agile,Manager Technology,Research,Analytics,commercial lending,SQL",https://www.naukri.com/job-listings-avp-data-science-analytics-modeling-fraud-solutions-transunion-software-services-pvt-ltd-mumbai-1-to-6-years-150221500825?src=jobsearchDesk&sid=16261492639403812&xp=14&px=3,"Business Analyst,",,"IT Software - Application Programming, Maintenance,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","IT Services & Consulting,","B.Tech/B.E. in Production/Industrial, Any Graduate, B.B.A/ B.M.S in Management",Any Postgraduate,
34,Indian Institute of Digital Education,4.5,(3 Reviews),Trainer Data Science,2-7 Yrs,Not disclosed,Mumbai,"Training,GIT,data science,Coding,Public speaking,Digital marketing,AWS,Supervision",https://www.naukri.com/job-listings-trainer-data-science-indian-institute-of-digital-education-mumbai-2-to-7-years-021220500414?src=jobsearchDesk&sid=16261492639403812&xp=15&px=3,"Special Education Teacher,",,"Teaching, Education, Training, Counselling,",Teachers,"Full Time, Permanent","Education / Training,",Any Graduate,Post Graduation Not Required,
35,Shoppers Stop Ltd,4.3,(1577 Reviews),Digital Analytics/Data Science/ Web Analytics,1-3 Yrs,Not disclosed,Mumbai,"Automation,Google Analytics,Web analytics,Quality check,Omniture,Adobe,SSIS,Strategic marketing",https://www.naukri.com/job-listings-digital-analytics-data-science-web-analytics-shoppers-stop-ltd-mumbai-1-to-3-years-240421500129?src=jobsearchDesk&sid=16261492639403812&xp=16&px=3,"Business/EDP Analyst,",,"ITES, BPO, KPO, LPO, Customer Service, Operations,",Operations,"Full Time, Permanent","Retail,",Any Graduate,Post Graduation Not Required,
36,TopGear Consultants Pvt Ltd. , , ,Opening For Senior Specialist – Data Science- Mumbai,5-10 Yrs,Not disclosed,Mumbai (All Areas),"Social Network Analysis,Predictive Modeling,Simulations,Regression,GLM,Boosting,Text Mining,Machine Learning",https://www.naukri.com/job-listings-opening-for-senior-specialist-data-science-mumbai-topgear-consultants-pvt-ltd-mumbai-all-areas-5-to-10-years-150521002268?src=jobsearchDesk&sid=16261492639403812&xp=17&px=3,,,,,,,,,
37,Quotient Consultancy  , , ,Curriculum Designer  - Data Science& Python ( Edutech),2-7 Yrs,"5,00,000 - 8,50,000 PA.",Mumbai,"Robotics,Coding,Content Development,Teaching English,Team Mentoring,Kids,Organizational Development,Quality Standards",https://www.naukri.com/job-listings-curriculum-designer-data-science-python-edutech-quotient-consultancy-mumbai-2-to-7-years-250621005408?src=jobsearchDesk&sid=16261492639403812&xp=18&px=3,"Curriculum Designer,",,"Teaching, Education, Training, Counselling,",Teachers,"Full Time, Permanent","E-Learning / EdTech,",Any Graduate,Any Postgraduate,
38,Zodiac  HR Consultants (I) Pvt Ltd., , ,Data Science Reb,3-7 Yrs,Not disclosed,Mumbai,"Predictive modelling,IT Skills,Data Science,Big Data,Statistics,Analytics",https://www.naukri.com/job-listings-data-science-reb-zodiac-hr-consultants-i-pvt-ltd-mumbai-3-to-7-years-250621604274?src=jobsearchDesk&sid=16261492639403812&xp=19&px=3,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Software Product,",Graduation Not Required,,
39,Quotient Consultancy  , , ,Curriculum Designer - Coding / Data Science -  large E Learning Co.,2-7 Yrs,"5,00,000 - 8,50,000 PA.",Mumbai,"Robotics,Coding,Content Development,Teaching English,Team Mentoring,Kids,Organizational Development,Quality Standards",https://www.naukri.com/job-listings-curriculum-designer-coding-data-science-large-e-learning-co-quotient-consultancy-mumbai-2-to-7-years-180920002046?src=jobsearchDesk&sid=16261492639403812&xp=20&px=3,"Curriculum Designer,",,"Teaching, Education, Training, Counselling,",Teachers,"Full Time, Permanent","E-Learning / EdTech,",Any Graduate,Any Postgraduate,
40,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,2.8,(14 Reviews),Data Science Optimization,3-6 Yrs,Not disclosed,"Mumbai, Jamshedpur, Bengaluru","Simulation,Aviation,Formulation,Scheduling,HTML,HTTP,Information management,Information technology",https://www.naukri.com/job-listings-data-science-optimization-tata-industries-limited-tata-insights-and-quants-divison-mumbai-jamshedpur-bengaluru-bangalore-3-to-6-years-261219501458?src=jobsearchDesk&sid=16261497636258653&xp=1&px=4,"Software Developer,",,"IT Software - Other,",Programming & Design,"Full Time, Permanent","Analytics / KPO / Research,",B.Tech/B.E. in Computers,M.Tech in Computers,
41,Inflexion Analytix Private Limited, , ,Data Scientist/Data Analyst /Business Analyst,0-3 Yrs,"3,50,000 - 4,50,000 PA.","Pune, Delhi / NCR, Mumbai (All Areas)","IT Skills,Python,Data Science,Machine Learning,Artificial Intelligence,Cloud,Big Data,Business Intelligence",https://www.naukri.com/job-listings-data-scientist-data-analyst-business-analyst-inflexion-analytix-private-limited-pune-delhi-ncr-mumbai-all-areas-0-to-3-years-040721000317?src=jobsearchDesk&sid=16261497636258653&xp=2&px=4,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","IT Services & Consulting,","BCA in Any Specialization, B.A in Any Specialization, B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, Diploma in Any Specialization, B.Com in Any Specialization","MBA/PGDM in Any Specialization, M.Com in Any Specialization, Any Postgraduate, MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization, MCA in Any Specialization",
42,Acquisition Analytics Pvt. Ltd., , ,Solution Architect Data Sciences (Advanced Analytics),10-15 Yrs,Not disclosed,Mumbai,"Unix,Visualization,Project management,Machine learning,Regression,Healthcare,QlikView,SQL",https://www.naukri.com/job-listings-solution-architect-data-sciences-advanced-analytics-acquisition-analytics-pvt-ltd-mumbai-10-to-15-years-231220500987?src=jobsearchDesk&sid=16261497636258653&xp=3&px=4,"Database Architect/Designer,",,"IT Software - Other,",Programming & Design,"Full Time, Permanent","Management Consulting,",Any Graduate,Any Postgraduate,
43,Acquisition Analytics Pvt. Ltd., , ,Solution Architect Data Sciences (Advanced Analytics),10-15 Yrs,Not disclosed,Mumbai,"Unix,Visualization,Project management,Machine learning,Tools,Regression,Healthcare,QlikView",https://www.naukri.com/job-listings-solution-architect-data-sciences-advanced-analytics-acquisition-analytics-pvt-ltd-mumbai-10-to-15-years-090218501196?src=jobsearchDesk&sid=16261497636258653&xp=4&px=4,"Database Architect/Designer,",,"IT Software - Other,",Programming & Design,"Full Time, Permanent","Recruitment / Staffing,",Any Graduate,Post Graduation Not Required,
44,Acquisition Analytics Pvt. Ltd., , ,Solution Architect Data Sciences (Advanced Analytics),10-15 Yrs,Not disclosed,Mumbai,"Unix,Project management,Analytical,Machine learning,Tools,Regression,Healthcare,QlikView",https://www.naukri.com/job-listings-solution-architect-data-sciences-advanced-analytics-acquisition-analytics-pvt-ltd-mumbai-10-to-15-years-090218501195?src=jobsearchDesk&sid=16261497636258653&xp=5&px=4,"Team Lead/Technical Lead,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Recruitment / Staffing,",Any Graduate,Post Graduation Not Required,
45,IBM India Pvt. Limited,4.0,(9964 Reviews),Data Scientist: Advanced Analytics,5-10 Yrs, Not Disclosed by Recruiter ,Mumbai,"Training,advanced analytics,Interpersonal skills,data science,Circuit designing,Consulting,Machine learning,Open source",https://www.naukri.com/job-listings-data-scientist-advanced-analytics-ibm-india-pvt-limited-mumbai-5-to-10-years-090721905958?src=jobsearchDesk&sid=16261497636258653&xp=6&px=4,Research Scientist,IT Services & Consulting,"Medical, Healthcare, R&D, Pharmaceuticals, Biotechnology",R&D,"Full Time, Permanent",,,,
46,WPP MARKETING COMMUNICATIONS INDIA PRIVATE LIMITED,4.1,(4 Reviews),Opening For  Lead-Impact (Data Analysis) - WPP India (CSR) Foundation,4-9 Yrs,"4,00,000 - 9,00,000 PA.",Mumbai (All Areas),"Impact Assessment,Data Analysis,Quantitative Research,Data Science,Product Development,Evaluation,Metrics,Project Management",https://www.naukri.com/job-listings-opening-for-lead-impact-data-analysis-wpp-india-csr-foundation-wpp-marketing-communications-india-private-limited-mumbai-all-areas-4-to-9-years-010721002738?src=jobsearchDesk&sid=16261497636258653&xp=7&px=4,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Advertising & Marketing,",Any Graduate,,
47,TurboHire Technologies Pvt. Ltd.   , , ,Data Analyst,2-4 Yrs,Not disclosed,Mumbai,"Data Science,Pyspark,R,Exploratory Data Analysis,Data Engineering,Octave,Tableau,Statistics",https://www.naukri.com/job-listings-data-analyst-turbohire-technologies-pvt-ltd-mumbai-2-to-4-years-060721009050?src=jobsearchDesk&sid=16261497636258653&xp=8&px=4,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","IT Services & Consulting,",B.Tech/B.E. in Any Specialization,,
48,RANDSTAD INDIA PVT LTD,4.1,(1144 Reviews),Senior Data Scientist,4-8 Yrs,Not disclosed,Mumbai (All Areas),"Data Scientist,Machine Learning,Python,Data Science,Predictive Modeling,R,Classification,Time Series",https://www.naukri.com/job-listings-senior-data-scientist-randstad-india-pvt-ltd-mumbai-all-areas-4-to-8-years-040721001217?src=jobsearchDesk&sid=16261497636258653&xp=9&px=4,"Technical Architect,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,",B.Sc in Computers,MS/M.Sc(Science) in Computers,
49,Vision Beyond Resources India Private Limited,3.9,(25 Reviews),Data Scientist,10-19 Yrs,"30,00,000 - 45,00,000 PA.","Bangalore/Bengaluru, Mumbai (All Areas)","Data Science,Predictive Modeling,Algorithms,SAS,Artificial Intelligence,Ensemble,data scientist,Static Data",https://www.naukri.com/job-listings-data-scientist-vision-beyond-resources-india-private-limited-bangalore-bengaluru-mumbai-all-areas-10-to-19-years-080721006482?src=jobsearchDesk&sid=16261497636258653&xp=10&px=4,"Technical Architect,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Recruitment / Staffing,",Any Graduate,,
50,NDS Infoserv,2.2,(48 Reviews),Data Scientist - Phd only,0-1 Yrs,"10,00,000 - 12,00,000 PA.",Mumbai,"Data Science,NLP,Machine Learning",https://www.naukri.com/job-listings-data-scientist-phd-only-nds-infoserv-mumbai-0-to-1-years-010421006391?src=jobsearchDesk&sid=16261497636258653&xp=11&px=4,"Software Developer,",,"IT Software - Other,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,",,,"Ph.D/Doctorate in Electronics/Telecommunication, Computers"
51,Premier Consultants , , ,Senior/Lead-Data Scientist- Fin-Tech Company,5-8 Yrs,"22,50,000 - 27,50,000 PA.",Mumbai (All Areas),"Artificial Intelligence,Deep Learning,Data Science,Neural Networks,Data Mining,Machine Learning,Prescriptive Analytics,R",https://www.naukri.com/job-listings-senior-lead-data-scientist-fin-tech-company-premier-consultants-mumbai-all-areas-5-to-8-years-120721003734?src=jobsearchDesk&sid=16261497636258653&xp=12&px=4,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","FinTech / Payments,",B.Tech/B.E. in Any Specialization,,
52,Fractal Analytics,3.9,(97 Reviews),Senior Design Researcher,2-5 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru","User research,data science,User interface designing,Artificial Intelligence,Research,international clients,Business understanding,Analytics",https://www.naukri.com/job-listings-senior-design-researcher-fractal-analytics-ltd-mumbai-bangalore-bengaluru-2-to-5-years-020721501535?src=jobsearchDesk&sid=16261497636258653&xp=13&px=4,"Design Engineer,",,"Engineering Design, R&D,",Engineering Design,"Full Time, Permanent","Management Consulting,",Any Graduate,Post Graduation Not Required,
53,Virtusa Consulting Services Pvt Ltd,3.4,(1055 Reviews),Big Data Spark AWS  - Senior Software Engineer- 5- 9 Years - Pan India,5-10 Yrs, Not Disclosed by Recruiter ,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","CD,CI,Big Data,SQL Queries,Tableau,Impala,Devops,AWS Eco system",https://www.naukri.com/job-listings-big-data-spark-aws-senior-software-engineer-5-9-years-pan-india-virtusa-consulting-services-pvt-ltd-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-180521006889?src=jobsearchDesk&sid=16261497636258653&xp=14&px=4,,IT Services & Consulting,Other,Other,"Full Time, Permanent",,,,
54,UpGrad,2.5,(115 Reviews),Senior Data Analyst,4-9 Yrs,"4,00,000 - 8,00,000 PA.",Mumbai (All Areas),"Data Analysis,Python,SQL,Data Science,Sales,Corporate Training,Tableau,Dashboards",https://www.naukri.com/job-listings-senior-data-analyst-upgrad-education-pvt-ltd-mumbai-all-areas-4-to-9-years-140621007137?src=jobsearchDesk&sid=16261497636258653&xp=15&px=4,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Education / Training,",Any Graduate,,
55,KETTO ONLINE VENTURES PRIVATE LIMITED,4.1,(6 Reviews),Data Science Head,8-12 Yrs,"30,00,000 - 40,00,000 PA.",Mumbai (All Areas),"data science lead,quantitative modelling,quantitative techniques,Applied Mathematics,statistical analysis,Statistics,Machine Learning,data modelling processes",https://www.naukri.com/job-listings-data-science-head-ketto-online-ventures-private-limited-mumbai-all-areas-8-to-12-years-140521002558?src=jobsearchDesk&sid=16261497636258653&xp=16&px=4,"Other,",,"Other,",Other,"Full Time, Permanent","NGO / Social Services / Industry Associations,",Any Graduate,,
56,Maersk Tankers India Private Limited  ,4.5,(11 Reviews),Vessel Performance Data Scientist,4-7 Yrs,Not disclosed,Mumbai (All Areas),"Data Science,Data Modeling,Python,Root Cause Analysis,Azure,Energy Management,Artificial Intelligence,Machine Learning",https://www.naukri.com/job-listings-vessel-performance-data-scientist-maersk-tankers-india-private-limited-mumbai-all-areas-4-to-7-years-090621002737?src=jobsearchDesk&sid=16261497636258653&xp=17&px=4,"Data Scientist,",,"Analytics & Business Intelligence,",Not mentioned,"Full Time, Permanent","Ports & Shipping,",Any Graduate,,
