,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry,Functional Area,Role Category,Employment Type,Industry Type,UG ,PG ,Doctorate 
177,Firstsource Solutions Limited,3.9,(1843 Reviews),AI / ML Deployment Manager – Manager / Senior Manage role,6-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)","Data Science,R,Artificial Intelligence,Hadoop,Big Data,Data Visualization,Spark,Machine Learning",https://www.naukri.com/job-listings-ai-ml-deployment-manager-manager-senior-manage-role-firstsource-solutions-limited-hyderabad-secunderabad-bangalore-bengaluru-mumbai-all-areas-6-to-8-years-310321002344?src=jobsearchDesk&sid=1626152152067847&xp=18&px=10,"Analytics Manager,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","BPO / Call Centre,",Any Graduate,,
178,MODIFI GmbH, , ,Senior -Product Designer,4-9 Yrs,Not disclosed,Mumbai,"Graphics,Data Science,Ux,Product Design,Artificial Intelligence,Sketch,Product Designer,Marketing",https://www.naukri.com/job-listings-senior-product-designer-modifi-gmbh-mumbai-4-to-9-years-120721501765?src=jobsearchDesk&sid=1626152152067847&xp=19&px=10,"Graphic/Web Designer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Banking,",Any Graduate,Any Postgraduate,
179,Exponentia.ai Private Limited,3.9,(7 Reviews),Hiring Spark Developer- WFH : Exponentia.Ai,3-8 Yrs,Not disclosed,"Kolkata, Indore, Hyderabad/Secunderabad, Ahmedabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Pyspark,Big Data,Spark,IT Skills,Java,Python,Data Science,AWS",https://www.naukri.com/job-listings-hiring-spark-developer-wfh-exponentia-ai-exponentia-ai-private-limited-kolkata-indore-hyderabad-secunderabad-ahmedabad-chennai-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-090721002512?src=jobsearchDesk&sid=1626152152067847&xp=20&px=10,"Business Analyst,",,"IT Software - Application Programming, Maintenance,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,,
180,Exponentia.ai Private Limited,3.9,(7 Reviews),Hiring Spark Developer- WFH : Exponentia.Ai,3-8 Yrs,Not disclosed,"Kolkata, Indore, Hyderabad/Secunderabad, Ahmedabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Pyspark,Big Data,Spark,IT Skills,Java,Python,Data Science,AWS",https://www.naukri.com/job-listings-hiring-spark-developer-wfh-exponentia-ai-exponentia-ai-private-limited-kolkata-indore-hyderabad-secunderabad-ahmedabad-chennai-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-090721002512?src=jobsearchDesk&sid=16261526102588644&xp=1&px=11,"Business Analyst,",,"IT Software - Application Programming, Maintenance,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,,
181,Spiceworks, , ,Associate Data Analyst-Product and Engineering,1-4 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru","BigQuery,Google Analytics,Tableau,SQL,verbal,written communication,IT Skills,Product engineering",https://www.naukri.com/job-listings-associate-data-analyst-product-and-engineering-spiceworks-mumbai-hyderabad-secunderabad-bangalore-bengaluru-1-to-4-years-160421501503?src=jobsearchDesk&sid=16261526102588644&xp=2&px=11,"Business/EDP Analyst,",,"ITES, BPO, KPO, LPO, Customer Service, Operations,",Operations,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,Post Graduation Not Required,
182,TRANSFORMHUB PRIVATE LIMITED, , ,Senior Data Analyst,6-8 Yrs,"6,00,000 - 15,00,000 PA.","Pune, Jaipur, Mumbai (All Areas)","Data Quality,data extraction,NoSQL,oracle,Cognos,Data Management,Data Analysis,Database",https://www.naukri.com/job-listings-senior-data-analyst-transformhub-private-limited-pune-jaipur-mumbai-all-areas-6-to-8-years-300621005788?src=jobsearchDesk&sid=16261526102588644&xp=3&px=11,"Business Analyst,",,"IT Software - Application Programming, Maintenance,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","IT Services & Consulting,","B.Sc in Computers, B.Tech/B.E. in Computers, BCA in Computers","MCA in Computers, M.Tech in Computers",
183,Mirum Digital Pvt Ltd.,3.6,(4 Reviews),Senior Data Analyst,4-6 Yrs,Not disclosed,Mumbai,"Views,SSAS,Relational Databases,SSRS,Data Analysis,SSIS,SQL",https://www.naukri.com/job-listings-senior-data-analyst-mirum-digital-pvt-ltd-mumbai-4-to-6-years-170820004325?src=jobsearchDesk&sid=16261526102588644&xp=4&px=11,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Advertising & Marketing,",Any Graduate,,
184,Hexaware Technologies Ltd.,3.5,(1663 Reviews),Scrum Master,10-14 Yrs,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru","IT Skills,Data Science,Computer science,Training,PDF,Agile scrum,Conflict resolution,Transition management",https://www.naukri.com/job-listings-scrum-master-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-10-to-14-years-300621501637?src=jobsearchDesk&sid=16261526102588644&xp=5&px=11,"Project Manager-IT/Software,",,"IT Software - Application Programming, Maintenance,",Project Management,"Full Time, Permanent","IT Services & Consulting,",B.Tech/B.E. in Computers,Post Graduation Not Required,
185,Tata Consultancy Services Ltd.,4.0,(22274 Reviews),Tcs Hiring! Hyper Automation Architect,10-20 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","communication,Artificial Intelligence,ML,Business Process Analysis,Data Science Automation,Machine Learning,data visualization,analytical",https://www.naukri.com/job-listings-tcs-hiring-hyper-automation-architect-tata-consultancy-services-ltd-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-10-to-20-years-280621014565?src=jobsearchDesk&sid=16261526102588644&xp=6&px=11,"Technical Architect,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,,
186,Synergistic Compusoft Private Limited, , ,Full time_Data science trainer_Work from Home,4-9 Yrs,Not disclosed,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","python,Tableau,machine learning,IT Skills,Data Science,Java,R,NLP",https://www.naukri.com/job-listings-full-time-data-science-trainer-work-from-home-synergistic-compusoft-private-limited-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-4-to-9-years-250621001514?src=jobsearchDesk&sid=16261526102588644&xp=7&px=11,"IT/Technical Content Developer,",,"IT Software - Application Programming, Maintenance,",Other,"Full Time, Permanent","IT Services & Consulting,","B.Tech/B.E. in Electronics/Telecommunication, Computers, Electrical","M.Tech in Computers, MCA in Computers, MS/M.Sc(Science) in Computers",
